step,train_loss,tok_s,mem_mb,val_loss,val_ppl
50,51.558800,5265.36,0.00,,
100,35.746765,5897.18,0.00,,
150,27.213076,5900.86,0.00,,
200,22.024353,5887.21,0.00,,
200,,,,20.290092,648447814.1085
250,18.995815,4120.97,0.00,,
300,16.391850,5959.56,0.00,,
350,14.676132,5680.79,0.00,,
400,13.603380,5881.88,0.00,,
400,,,,12.078656,176073.3702
450,12.679031,3989.41,0.00,,
500,12.264770,5584.93,0.00,,
550,11.475663,5502.66,0.00,,
600,11.382911,4941.65,0.00,,
600,,,,9.716330,16586.2694
650,10.668285,4039.72,0.00,,
700,10.471812,5588.09,0.00,,
750,10.121424,5466.63,0.00,,
800,9.666862,5944.82,0.00,,
800,,,,8.784192,6530.1940
850,9.839108,4211.76,0.00,,
900,9.823250,5936.85,0.00,,
950,9.609591,5945.26,0.00,,
1000,9.699510,5973.50,0.00,,
1000,,,,8.289428,3981.5577
1050,9.212418,4259.09,0.00,,
1100,9.407984,6008.08,0.00,,
1150,9.096794,6070.01,0.00,,
1200,9.162809,5368.28,0.00,,
1200,,,,8.037312,3094.2852
1250,9.161473,4321.79,0.00,,
1300,9.044411,6059.07,0.00,,
1350,9.053427,6076.54,0.00,,
1400,8.943687,6067.54,0.00,,
1400,,,,7.895961,2686.4086
1450,8.988090,4323.21,0.00,,
1500,8.882183,6073.71,0.00,,
1550,9.051689,6077.52,0.00,,
1600,8.901268,5824.11,0.00,,
1600,,,,7.812881,2472.2428
1650,8.593390,3954.11,0.00,,
1700,9.009548,5467.34,0.00,,
1750,8.835829,5713.44,0.00,,
1800,8.657421,1027.77,0.00,,
1800,,,,7.781413,2395.6580
1850,8.734945,3929.98,0.00,,
1900,9.129950,5326.26,0.00,,
1950,8.679077,4853.47,0.00,,
2000,8.852121,4872.89,0.00,,
2000,,,,7.773475,2376.7158
