step,train_loss,tok_s,mem_mb,val_loss,val_ppl
50,51.338181,4334.80,0.00,,
100,35.788914,4820.22,0.00,,
150,27.437466,4879.49,0.00,,
200,22.010105,4878.51,0.00,,
200,,,,20.550050,840955741.9646
250,19.233953,3906.51,0.00,,
300,16.723518,5510.39,0.00,,
350,14.686367,5279.92,0.00,,
400,13.703620,4998.74,0.00,,
400,,,,12.217862,202371.7619
450,12.817102,3576.46,0.00,,
500,12.397625,4985.26,0.00,,
550,11.321537,4987.99,0.00,,
600,11.437698,4489.02,0.00,,
600,,,,9.737004,16932.7286
650,10.727143,3624.00,0.00,,
700,10.435990,4946.18,0.00,,
750,10.112743,4930.94,0.00,,
800,9.565140,5029.76,0.00,,
800,,,,8.791738,6579.6594
850,9.938639,3578.54,0.00,,
900,9.787747,4984.51,0.00,,
950,9.573615,5025.04,0.00,,
1000,9.723184,5030.70,0.00,,
1000,,,,8.285048,3964.1565
1050,9.215844,3775.00,0.00,,
1100,9.334587,5608.41,0.00,,
1150,9.034873,5636.36,0.00,,
1200,9.091881,5085.01,0.00,,
1200,,,,8.028201,3066.2210
1250,9.154982,4005.37,0.00,,
1300,8.997679,5677.91,0.00,,
1350,9.018444,5648.64,0.00,,
1400,8.882804,5610.35,0.00,,
1400,,,,7.883916,2654.2464
1450,8.897556,4019.39,0.00,,
1500,8.975168,5630.85,0.00,,
1550,8.982393,5628.05,0.00,,
1600,8.881195,5615.94,0.00,,
1600,,,,7.802054,2445.6191
1650,8.516265,4047.50,0.00,,
1700,8.976990,5598.58,0.00,,
1750,8.997494,5599.48,0.00,,
1800,8.641823,5173.26,0.00,,
1800,,,,7.769816,2368.0365
1850,8.658223,4016.77,0.00,,
1900,8.999048,5663.91,0.00,,
1950,8.716455,5626.61,0.00,,
2000,8.878002,5635.66,0.00,,
2000,,,,7.763081,2352.1412
