step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,step_time_ms,eval_time_s
50,52.085716,4020.61,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8148,0.8149,0.8144,0.8143,0.8148,0.8140,0.8140,0.8149,0.8145,0.8155,0.8148,0.8155,0.8150,0.8152,0.8151,0.8153,0.8168,0.8149,0.8167,0.8192,0.8193,0.8188,0.8167,0.8175,0.8223,0.8214,0.8223,0.8214,0.8216,0.8214,0.8221,0.8206,0.8233,0.8231,0.8230,0.8228,0.8231,0.8226,0.8226,0.8230,0.8235,0.8237,0.8236,0.8233,0.8236,0.8233,0.8234,0.8226,0.8238,0.8238,0.8235,0.8239,0.8229,0.8234,0.8234,0.8233,0.8237,0.8231,0.8235,0.8239,0.8239,0.8240,0.8235,0.8233",685.22,
100,36.689045,4449.88,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8143,0.8143,0.8136,0.8123,0.8138,0.8012,0.8124,0.8082,0.8145,0.8160,0.8148,0.8143,0.8151,0.8148,0.8143,0.8139,0.8191,0.8183,0.8181,0.8207,0.8205,0.8208,0.8177,0.8193,0.8231,0.8226,0.8223,0.8225,0.8231,0.8226,0.8227,0.8229,0.8234,0.8239,0.8237,0.8236,0.8238,0.8228,0.8235,0.8236,0.8239,0.8238,0.8243,0.8241,0.8243,0.8241,0.8242,0.8238,0.8244,0.8239,0.8235,0.8239,0.8239,0.8238,0.8239,0.8235,0.8238,0.8238,0.8242,0.8241,0.8239,0.8241,0.8233,0.8240",589.85,
150,27.312565,4977.14,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8126,0.8128,0.8095,0.8066,0.8113,0.7807,0.8085,0.7950,0.8147,0.8160,0.8146,0.8134,0.8154,0.8147,0.8147,0.8139,0.8204,0.8209,0.8200,0.8216,0.8212,0.8215,0.8193,0.8200,0.8236,0.8231,0.8236,0.8233,0.8224,0.8226,0.8232,0.8228,0.8230,0.8238,0.8234,0.8235,0.8234,0.8235,0.8238,0.8237,0.8239,0.8240,0.8243,0.8232,0.8240,0.8237,0.8242,0.8239,0.8235,0.8237,0.8232,0.8239,0.8237,0.8237,0.8238,0.8236,0.8244,0.8244,0.8240,0.8236,0.8236,0.8237,0.8245,0.8240",593.58,
200,22.586678,4968.13,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8101,0.8113,0.8013,0.7968,0.8044,0.7753,0.8009,0.7875,0.8142,0.8162,0.8151,0.8124,0.8157,0.8139,0.8143,0.8136,0.8216,0.8207,0.8207,0.8225,0.8218,0.8214,0.8204,0.8211,0.8236,0.8235,0.8234,0.8232,0.8231,0.8231,0.8229,0.8230,0.8241,0.8231,0.8235,0.8239,0.8236,0.8236,0.8236,0.8233,0.8238,0.8238,0.8244,0.8238,0.8237,0.8234,0.8242,0.8240,0.8238,0.8235,0.8240,0.8245,0.8237,0.8240,0.8237,0.8246,0.8236,0.8234,0.8239,0.8243,0.8242,0.8237,0.8241,0.8247",600.64,
200,,,,20.687871,965223920.2864
250,18.965202,3236.59,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8035,0.8100,0.7862,0.7894,0.7834,0.7717,0.7863,0.7574,0.8148,0.8169,0.8154,0.8107,0.8160,0.8118,0.8145,0.8132,0.8214,0.8216,0.8214,0.8230,0.8220,0.8216,0.8208,0.8214,0.8234,0.8231,0.8235,0.8236,0.8234,0.8236,0.8236,0.8237,0.8235,0.8239,0.8237,0.8240,0.8240,0.8237,0.8243,0.8241,0.8244,0.8235,0.8240,0.8240,0.8245,0.8240,0.8238,0.8245,0.8238,0.8241,0.8240,0.8235,0.8235,0.8242,0.8240,0.8235,0.8237,0.8243,0.8246,0.8239,0.8238,0.8240,0.8239,0.8239",595.51,
300,17.103889,4987.66,0.00,,,1959.91,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.7930,0.8074,0.7630,0.7820,0.7764,0.7576,0.7732,0.7285,0.8141,0.8168,0.8149,0.8070,0.8160,0.8100,0.8130,0.8122,0.8219,0.8219,0.8218,0.8236,0.8226,0.8217,0.8213,0.8216,0.8237,0.8239,0.8237,0.8241,0.8236,0.8243,0.8233,0.8232,0.8236,0.8237,0.8237,0.8237,0.8240,0.8237,0.8236,0.8235,0.8238,0.8232,0.8240,0.8234,0.8237,0.8242,0.8237,0.8242,0.8241,0.8237,0.8237,0.8242,0.8233,0.8242,0.8239,0.8240,0.8239,0.8240,0.8242,0.8237,0.8238,0.8240,0.8238,0.8235",595.97,
350,15.047400,4744.65,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7885,0.8099,0.7475,0.7818,0.7627,0.7410,0.7594,0.7289,0.8200,0.8234,0.8200,0.7962,0.8238,0.8086,0.8180,0.8174,0.7467,0.7469,0.7454,0.7476,0.7468,0.7471,0.7471,0.7462,0.8121,0.8127,0.8123,0.8118,0.8118,0.8122,0.8118,0.8121,0.8127,0.8124,0.8124,0.8121,0.8126,0.8133,0.8120,0.8122,0.8242,0.8238,0.8242,0.8239,0.8236,0.8242,0.8242,0.8234,0.7487,0.7487,0.7486,0.7487,0.7497,0.7488,0.7485,0.7484,0.8127,0.8124,0.8126,0.8125,0.8126,0.8126,0.8126,0.8129",751.95,
400,14.208055,4766.01,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7651,0.8051,0.7125,0.7536,0.7397,0.7242,0.7439,0.7335,0.8119,0.8199,0.8084,0.7406,0.8225,0.7837,0.8023,0.8034,0.7473,0.7470,0.7460,0.7470,0.7473,0.7480,0.7468,0.7464,0.8124,0.8130,0.8118,0.8119,0.8112,0.8127,0.8121,0.8121,0.8123,0.8128,0.8118,0.8121,0.8127,0.8121,0.8127,0.8133,0.8235,0.8234,0.8240,0.8232,0.8237,0.8239,0.8237,0.8240,0.7493,0.7494,0.7489,0.7493,0.7488,0.7495,0.7481,0.7487,0.8124,0.8128,0.8123,0.8125,0.8120,0.8133,0.8130,0.8119",747.67,
400,,,,12.276310,214552.6586
450,13.011839,3166.97,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7493,0.8001,0.6940,0.7289,0.7404,0.7239,0.7320,0.7353,0.7657,0.7933,0.7485,0.6735,0.8101,0.7223,0.7498,0.7497,0.7481,0.7467,0.7463,0.7487,0.7474,0.7479,0.7459,0.7472,0.8117,0.8127,0.8121,0.8118,0.8126,0.8119,0.8118,0.8116,0.8125,0.8127,0.8126,0.8111,0.8120,0.8127,0.8124,0.8124,0.8239,0.8235,0.8240,0.8240,0.8242,0.8243,0.8233,0.8237,0.7494,0.7486,0.7487,0.7494,0.7492,0.7493,0.7482,0.7493,0.8119,0.8130,0.8121,0.8123,0.8125,0.8125,0.8121,0.8125",744.87,
