step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,step_time_ms,eval_time_s
50,52.308365,3481.64,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8148,0.8148,0.8147,0.8147,0.8147,0.8145,0.8143,0.8149,0.8135,0.8155,0.8154,0.8145,0.8152,0.8152,0.8142,0.8160,0.8183,0.8155,0.8177,0.8164,0.8168,0.8182,0.8176,0.8145,0.8221,0.8202,0.8214,0.8224,0.8216,0.8216,0.8219,0.8204,0.8232,0.8225,0.8236,0.8232,0.8227,0.8230,0.8224,0.8234,0.8236,0.8237,0.8235,0.8227,0.8235,0.8234,0.8235,0.8229,0.8238,0.8238,0.8235,0.8241,0.8230,0.8234,0.8235,0.8234,0.8238,0.8231,0.8236,0.8239,0.8239,0.8240,0.8236,0.8232",615.31,
100,35.579605,4515.15,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8145,0.8140,0.8136,0.8131,0.8133,0.8122,0.8133,0.8107,0.8135,0.8158,0.8149,0.8136,0.8150,0.8152,0.8143,0.8162,0.8207,0.8196,0.8200,0.8192,0.8187,0.8206,0.8194,0.8175,0.8230,0.8224,0.8222,0.8230,0.8231,0.8226,0.8228,0.8230,0.8234,0.8237,0.8237,0.8237,0.8236,0.8230,0.8232,0.8238,0.8239,0.8239,0.8241,0.8239,0.8243,0.8241,0.8242,0.8239,0.8243,0.8239,0.8235,0.8240,0.8239,0.8238,0.8239,0.8235,0.8239,0.8238,0.8242,0.8242,0.8239,0.8240,0.8233,0.8240",593.66,
150,28.734669,4367.13,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8133,0.8125,0.8103,0.8100,0.8103,0.8080,0.8125,0.7987,0.8138,0.8155,0.8144,0.8124,0.8151,0.8159,0.8151,0.8168,0.8216,0.8218,0.8209,0.8206,0.8201,0.8217,0.8205,0.8189,0.8236,0.8230,0.8235,0.8236,0.8224,0.8226,0.8233,0.8228,0.8230,0.8237,0.8235,0.8235,0.8233,0.8236,0.8236,0.8238,0.8238,0.8241,0.8243,0.8231,0.8240,0.8237,0.8242,0.8239,0.8235,0.8237,0.8232,0.8240,0.8237,0.8237,0.8238,0.8236,0.8245,0.8244,0.8239,0.8236,0.8236,0.8237,0.8246,0.8240",588.10,
200,21.819691,4032.82,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8129,0.8104,0.8046,0.8049,0.8032,0.8029,0.8106,0.7903,0.8137,0.8155,0.8150,0.8129,0.8143,0.8164,0.8153,0.8164,0.8227,0.8215,0.8218,0.8216,0.8213,0.8216,0.8212,0.8207,0.8235,0.8232,0.8234,0.8234,0.8231,0.8231,0.8231,0.8231,0.8241,0.8231,0.8236,0.8239,0.8234,0.8237,0.8236,0.8234,0.8237,0.8238,0.8243,0.8237,0.8237,0.8235,0.8242,0.8240,0.8238,0.8235,0.8240,0.8246,0.8237,0.8240,0.8236,0.8246,0.8237,0.8234,0.8238,0.8244,0.8242,0.8237,0.8242,0.8246",743.45,
200,,,,20.489847,791821914.2791
250,18.934204,2639.40,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8117,0.8067,0.7915,0.7952,0.7934,0.7916,0.8065,0.7684,0.8144,0.8166,0.8152,0.8121,0.8146,0.8159,0.8153,0.8161,0.8222,0.8223,0.8220,0.8220,0.8217,0.8219,0.8217,0.8210,0.8233,0.8229,0.8235,0.8238,0.8234,0.8236,0.8236,0.8238,0.8235,0.8238,0.8238,0.8239,0.8239,0.8239,0.8242,0.8243,0.8243,0.8236,0.8240,0.8239,0.8245,0.8241,0.8238,0.8245,0.8238,0.8241,0.8240,0.8235,0.8235,0.8242,0.8240,0.8235,0.8237,0.8244,0.8246,0.8239,0.8238,0.8240,0.8240,0.8239",1102.53,
300,15.839025,4050.84,0.00,,,2054.41,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8122,0.7990,0.7667,0.7857,0.7894,0.7867,0.7976,0.7466,0.8140,0.8159,0.8155,0.8122,0.8146,0.8165,0.8144,0.8160,0.8225,0.8225,0.8222,0.8228,0.8222,0.8220,0.8218,0.8212,0.8237,0.8237,0.8237,0.8242,0.8237,0.8241,0.8234,0.8233,0.8236,0.8237,0.8238,0.8236,0.8239,0.8238,0.8235,0.8236,0.8238,0.8232,0.8240,0.8233,0.8237,0.8242,0.8237,0.8242,0.8240,0.8237,0.8237,0.8242,0.8233,0.8242,0.8239,0.8239,0.8239,0.8240,0.8242,0.8237,0.8238,0.8239,0.8238,0.8235",673.54,
350,15.310432,4059.18,0.00,,,2054.41,,,8388608.00,0.500000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256","0.7890,0.7613,0.6953,0.7427,0.7556,0.7487,0.7582,0.7034,0.7899,0.7943,0.7935,0.7866,0.7906,0.7938,0.7921,0.7950,0.8025,0.8013,0.8009,0.8020,0.8011,0.8028,0.8008,0.7998,0.8121,0.8110,0.8118,0.8124,0.8119,0.8117,0.8120,0.8120,0.8236,0.8234,0.8236,0.8232,0.8237,0.8236,0.8241,0.8234,0.7777,0.7766,0.7773,0.7776,0.7782,0.7763,0.7781,0.7767,0.8315,0.8314,0.8320,0.8311,0.8313,0.8316,0.8311,0.8315,0.8031,0.8025,0.8032,0.8033,0.8034,0.8035,0.8032,0.8032",886.72,
400,14.344179,3856.60,0.00,,,2054.41,,,8388608.00,0.500000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256","0.7879,0.7596,0.6739,0.7265,0.7514,0.7503,0.7556,0.7136,0.7894,0.7923,0.7918,0.7821,0.7827,0.7953,0.7899,0.7948,0.8019,0.8012,0.8014,0.8011,0.8004,0.8011,0.8008,0.7998,0.8126,0.8120,0.8127,0.8123,0.8117,0.8133,0.8124,0.8123,0.8242,0.8237,0.8237,0.8242,0.8241,0.8238,0.8236,0.8234,0.7776,0.7775,0.7770,0.7766,0.7765,0.7767,0.7775,0.7776,0.8315,0.8313,0.8319,0.8313,0.8320,0.8316,0.8318,0.8317,0.8033,0.8034,0.8024,0.8030,0.8032,0.8028,0.8037,0.8030",1426.95,
400,,,,12.251376,209269.1208
