step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,step_time_ms,eval_time_s
50,52.643188,4006.13,0.00,,,1591.70,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8147,0.8141,0.8149,0.8146,0.8144,0.8152,0.8151,0.8156,0.8162,0.8155,0.8151,0.8135,0.8146,0.8154,0.8158,0.8176,0.8162,0.8182,0.8174,0.8160,0.8180,0.8139,0.8217,0.8213,0.8215,0.8222,0.8220,0.8213,0.8208,0.8211,0.8230,0.8231,0.8227,0.8228,0.8231,0.8227,0.8227,0.8227,0.8234,0.8235,0.8234,0.8230,0.8237,0.8233,0.8233,0.8231,0.8240,0.8237,0.8234,0.8238,0.8229,0.8234,0.8233,0.8235,0.8238,0.8231,0.8236,0.8238,0.8239,0.8240,0.8234,0.8233",0.000000,512.00,,,,"0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7",629.18,
100,35.704571,3775.02,0.00,,,1591.70,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8140,0.8141,0.8027,0.8137,0.8122,0.8139,0.8048,0.8151,0.8153,0.8158,0.8150,0.8138,0.8108,0.8140,0.8145,0.8185,0.8203,0.8187,0.8203,0.8195,0.8188,0.8196,0.8185,0.8230,0.8227,0.8221,0.8229,0.8231,0.8227,0.8223,0.8231,0.8233,0.8239,0.8237,0.8235,0.8239,0.8229,0.8234,0.8236,0.8238,0.8238,0.8241,0.8240,0.8244,0.8240,0.8242,0.8240,0.8245,0.8239,0.8234,0.8238,0.8238,0.8237,0.8238,0.8235,0.8239,0.8238,0.8242,0.8241,0.8239,0.8240,0.8232,0.8240",0.000000,512.00,,0.000000,1.000000,"0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5,6,7",614.09,
150,27.098511,4754.72,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7113,0.7105,0.7095,0.6810,0.7102,0.7021,0.7119,0.6891,0.7133,0.7118,0.7129,0.7104,0.7103,0.7058,0.7108,0.7107,0.7173,0.7198,0.7178,0.7193,0.7184,0.7180,0.7187,0.7177,0.8236,0.8233,0.8235,0.8236,0.8223,0.8228,0.8229,0.8230,0.8230,0.8239,0.8234,0.8234,0.8235,0.8236,0.8237,0.8237,0.6300,0.6305,0.6309,0.6301,0.6305,0.6302,0.6306,0.6308,0.7926,0.7925,0.7922,0.7927,0.7926,0.7926,0.7928,0.7927,0.8245,0.8244,0.8239,0.8236,0.8237,0.8237,0.8245,0.8241",0.000000,280.00,0.000000,0.875000,0.912500,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",604.03,
200,22.441265,4780.00,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7115,0.7094,0.7044,0.6444,0.7087,0.6959,0.7111,0.6726,0.7124,0.7110,0.7127,0.7088,0.7084,0.7039,0.7101,0.7086,0.7188,0.7193,0.7188,0.7205,0.7191,0.7187,0.7192,0.7194,0.8237,0.8235,0.8233,0.8234,0.8229,0.8231,0.8228,0.8232,0.8240,0.8232,0.8235,0.8239,0.8237,0.8237,0.8236,0.8234,0.6301,0.6304,0.6308,0.6314,0.6309,0.6304,0.6299,0.6308,0.7928,0.7923,0.7929,0.7934,0.7927,0.7929,0.7925,0.7934,0.8237,0.8234,0.8238,0.8243,0.8242,0.8237,0.8242,0.8247",0.000000,280.00,1.000000,0.000000,0.921250,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",613.69,
200,,,,21.002902,1322648285.0463
250,20.262100,3045.02,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7103,0.7076,0.6984,0.6138,0.7077,0.6914,0.7100,0.6437,0.7131,0.7116,0.7130,0.7047,0.7080,0.7023,0.7101,0.7072,0.7187,0.7199,0.7191,0.7201,0.7194,0.7190,0.7196,0.7198,0.8234,0.8232,0.8234,0.8238,0.8232,0.8237,0.8234,0.8239,0.8234,0.8239,0.8237,0.8239,0.8241,0.8238,0.8243,0.8241,0.6302,0.6304,0.6308,0.6300,0.6309,0.6306,0.6303,0.6309,0.7927,0.7929,0.7929,0.7925,0.7924,0.7932,0.7931,0.7925,0.8237,0.8244,0.8246,0.8239,0.8238,0.8240,0.8239,0.8240",0.000000,280.00,1.000000,0.000000,0.929125,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",614.41,
300,19.209919,4768.51,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7103,0.7038,0.6952,0.5896,0.7058,0.6891,0.7088,0.6330,0.7128,0.7102,0.7125,0.7022,0.7063,0.7013,0.7084,0.7038,0.7187,0.7201,0.7190,0.7212,0.7204,0.7189,0.7197,0.7198,0.8238,0.8239,0.8236,0.8243,0.8234,0.8242,0.8232,0.8233,0.8235,0.8238,0.8237,0.8237,0.8240,0.8237,0.8236,0.8236,0.6306,0.6291,0.6307,0.6295,0.6300,0.6304,0.6301,0.6304,0.7930,0.7927,0.7927,0.7931,0.7923,0.7930,0.7930,0.7930,0.8239,0.8240,0.8242,0.8236,0.8238,0.8240,0.8238,0.8236",0.000000,280.00,1.000000,0.000000,0.936213,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",697.39,
350,18.593067,4798.13,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7109,0.7044,0.6962,0.5901,0.7060,0.6907,0.7088,0.6261,0.7132,0.7105,0.7119,0.7020,0.7073,0.7026,0.7094,0.7050,0.7192,0.7205,0.7195,0.7204,0.7196,0.7199,0.7202,0.7189,0.8238,0.8233,0.8232,0.8236,0.8224,0.8236,0.8232,0.8239,0.8234,0.8231,0.8233,0.8235,0.8238,0.8242,0.8239,0.8237,0.6305,0.6299,0.6301,0.6301,0.6308,0.6313,0.6300,0.6310,0.7937,0.7928,0.7924,0.7928,0.7924,0.7927,0.7931,0.7925,0.8239,0.8236,0.8237,0.8241,0.8243,0.8241,0.8238,0.8241",0.000000,280.00,1.000000,0.000000,0.942591,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",615.98,
400,19.072662,4803.12,0.00,,,1591.70,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7110,0.7049,0.6920,0.5940,0.7063,0.6917,0.7087,0.6224,0.7125,0.7109,0.7127,0.7026,0.7067,0.7024,0.7086,0.7047,0.7192,0.7202,0.7191,0.7206,0.7198,0.7190,0.7198,0.7202,0.8236,0.8240,0.8231,0.8243,0.8230,0.8235,0.8232,0.8229,0.8234,0.8235,0.8240,0.8243,0.8239,0.8234,0.8238,0.8233,0.6309,0.6305,0.6304,0.6308,0.6301,0.6306,0.6303,0.6305,0.7930,0.7931,0.7928,0.7931,0.7929,0.7930,0.7930,0.7929,0.8244,0.8242,0.8240,0.8239,0.8241,0.8239,0.8240,0.8236",0.000000,280.00,1.000000,0.000000,0.948332,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",687.24,
400,,,,17.037187,25070104.1030
