step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,52.643188,4341.90,2026.69,,,2026.69,111.06,407175.02,,,,60.45,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,0.65,0.00,0.15,583.76,
100,35.704575,4888.87,2026.69,,,2026.69,120.98,407175.02,,,,68.70,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,1.88,0.00,0.47,638.84,
150,27.097870,4813.53,2026.69,,,2026.69,117.00,407175.20,,,,66.59,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,2.25,0.00,0.45,617.79,
200,22.440208,4853.14,2026.69,,,2026.69,115.19,407175.39,,,,65.16,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,2.37,0.00,0.49,647.37,
200,,,,21.004038,1324151841.1010
250,20.261940,3216.92,2026.69,,,2026.69,104.72,407176.77,,,,65.59,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,2.20,0.00,0.35,618.48,
300,19.209732,4886.14,2026.69,,,2026.69,102.94,407176.77,,,,65.12,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,1.81,0.00,0.34,622.20,
350,18.593002,4854.48,2026.69,,,2026.69,103.83,407176.77,,,,65.55,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,1.89,0.00,0.41,638.50,
400,19.072678,4915.36,2026.69,,,2026.69,103.12,407176.77,,,,65.02,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,0.00,1.71,0.00,0.32,635.91,
400,,,,17.037713,25083294.6624
