step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,step_time_ms,eval_time_s
50,52.643188,4641.22,1915.59,,,1915.59,102.73,407669.55,,,,63.48,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},584.11,
100,35.704575,5205.53,1915.59,,,1915.59,101.81,407670.20,,,,63.00,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},605.88,
150,26.974785,5318.11,1915.59,,,1915.59,58.52,407670.20,,,,25.30,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},633.93,
200,21.813875,5330.52,1915.59,,,1915.59,105.62,407671.20,,,,66.92,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},546.37,
200,,,,20.339132,681040483.1435
250,18.760612,3648.82,1915.59,,,1915.59,95.16,407673.12,,,,64.89,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},601.32,
300,16.670000,5295.93,1915.59,,,1915.59,97.05,407674.77,,,,67.42,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},585.26,
350,14.734097,5305.66,1915.59,,,1915.59,81.28,407674.77,,,,52.34,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},598.06,
400,14.105659,5296.65,1915.59,,,1915.59,99.47,407674.77,,,,69.41,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},620.16,
400,,,,12.243395,207605.5485
450,13.241851,3561.25,1915.59,,,1915.59,98.23,407674.22,,,,68.67,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},582.77,
500,12.413763,5266.12,1915.59,,,1915.59,98.45,407674.22,,,,68.73,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},551.37,
550,11.295635,5260.75,1915.59,,,1915.59,53.86,407178.14,,,,28.39,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},648.81,
600,11.418474,4461.36,1915.59,,,1915.59,93.12,407176.59,,,,61.53,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},585.15,
600,,,,9.801640,18063.3383
650,11.193928,3080.67,1915.59,,,1915.59,54.69,407176.59,,,,30.20,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},685.57,
700,10.293631,5320.67,1915.59,,,1915.59,99.28,407176.59,,,,69.30,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},590.47,
750,10.715690,5287.35,1915.59,,,1915.59,95.44,407176.59,,,,66.14,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},573.46,
800,10.402940,4646.57,1915.59,,,1915.59,49.81,407176.59,,,,26.83,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},747.53,
800,,,,8.761121,6381.2627
850,9.610924,1953.30,1915.59,,,1915.59,54.27,407175.59,,,,31.50,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},1389.98,
900,9.730493,4179.92,1915.59,,,1915.59,92.09,407047.59,,,,63.00,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},628.56,
