step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,step_time_ms,eval_time_s
50,51.823090,3145.29,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8145,0.8144,0.8148,0.8144,0.8144,0.8150,0.8159,0.8146,0.8154,0.8126,0.8163,0.8131,0.8150,0.8150,0.8173,0.8189,0.8177,0.8149,0.8166,0.8167,0.8153,0.8179,0.8208,0.8214,0.8220,0.8222,0.8228,0.8201,0.8213,0.8199,0.8224,0.8226,0.8230,0.8230,0.8227,0.8226,0.8226,0.8233,0.8235,0.8237,0.8237,0.8231,0.8236,0.8233,0.8232,0.8227,0.8240,0.8239,0.8236,0.8240,0.8229,0.8233,0.8234,0.8232,0.8239,0.8230,0.8236,0.8240,0.8240,0.8239,0.8235,0.8233",0.000000,512.00,,,,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.050617|-0.106896|-0.326211|-0.467763|-0.321864|-0.080518|-0.392763|-0.397956,1031.76,
100,36.293068,3483.84,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8136,0.8141,0.8130,0.8143,0.8120,0.8138,0.8051,0.8160,0.8153,0.8147,0.8104,0.8165,0.8107,0.8140,0.8146,0.8197,0.8204,0.8187,0.8183,0.8182,0.8190,0.8176,0.8197,0.8225,0.8229,0.8221,0.8227,0.8236,0.8222,0.8223,0.8225,0.8230,0.8237,0.8236,0.8236,0.8236,0.8228,0.8234,0.8238,0.8239,0.8239,0.8242,0.8240,0.8243,0.8240,0.8241,0.8239,0.8245,0.8240,0.8235,0.8240,0.8238,0.8237,0.8238,0.8234,0.8239,0.8238,0.8242,0.8243,0.8239,0.8240,0.8233,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.043997|-0.067606|-0.563469|-0.900299|-0.367619|-0.142708|-0.466627|-0.443117,842.82,
150,26.920719,3515.51,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8138,0.8113,0.8122,0.8090,0.8138,0.8060,0.8139,0.7959,0.8165,0.8155,0.8146,0.8114,0.8170,0.8103,0.8145,0.8151,0.8212,0.8223,0.8204,0.8199,0.8192,0.8206,0.8201,0.8205,0.8231,0.8234,0.8234,0.8235,0.8228,0.8225,0.8230,0.8226,0.8228,0.8238,0.8233,0.8234,0.8233,0.8234,0.8238,0.8239,0.8238,0.8241,0.8244,0.8232,0.8239,0.8236,0.8242,0.8239,0.8237,0.8238,0.8232,0.8240,0.8237,0.8236,0.8238,0.8236,0.8245,0.8244,0.8239,0.8236,0.8237,0.8236,0.8246,0.8241",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.038273|-0.062927|-0.710223|-1.105159|-0.402614|-0.176671|-0.520860|-0.468261,872.78,
200,23.489243,3407.74,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8140,0.8089,0.8114,0.8041,0.8131,0.7975,0.8136,0.7819,0.8158,0.8155,0.8152,0.8118,0.8168,0.8096,0.8139,0.8147,0.8220,0.8214,0.8213,0.8213,0.8204,0.8210,0.8206,0.8220,0.8233,0.8236,0.8232,0.8234,0.8234,0.8230,0.8228,0.8229,0.8240,0.8232,0.8234,0.8239,0.8234,0.8235,0.8237,0.8234,0.8237,0.8237,0.8244,0.8238,0.8237,0.8234,0.8242,0.8239,0.8239,0.8235,0.8240,0.8246,0.8236,0.8240,0.8236,0.8246,0.8237,0.8234,0.8238,0.8243,0.8242,0.8237,0.8241,0.8247",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.033775|-0.061123|-0.837282|-1.255767|-0.432147|-0.206673|-0.580387|-0.495877,828.80,
200,,,,21.234568,1667460682.3123
250,19.628181,2294.89,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8132,0.8075,0.8086,0.7962,0.8126,0.7908,0.8125,0.7515,0.8164,0.8163,0.8151,0.8116,0.8173,0.8075,0.8134,0.8143,0.8217,0.8221,0.8215,0.8216,0.8205,0.8213,0.8212,0.8223,0.8231,0.8233,0.8233,0.8237,0.8237,0.8236,0.8233,0.8236,0.8234,0.8239,0.8237,0.8239,0.8239,0.8237,0.8243,0.8242,0.8243,0.8235,0.8240,0.8240,0.8244,0.8240,0.8238,0.8245,0.8239,0.8241,0.8240,0.8236,0.8235,0.8241,0.8240,0.8235,0.8238,0.8243,0.8245,0.8239,0.8238,0.8240,0.8240,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.026339|-0.060393|-0.926819|-1.349329|-0.454260|-0.226920|-0.625080|-0.515922,886.78,
300,19.551685,3237.65,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8138,0.8045,0.8071,0.7908,0.8122,0.7860,0.8122,0.7457,0.8159,0.8157,0.8153,0.8124,0.8170,0.8066,0.8127,0.8144,0.8219,0.8223,0.8219,0.8222,0.8210,0.8216,0.8215,0.8225,0.8235,0.8241,0.8234,0.8242,0.8239,0.8242,0.8231,0.8230,0.8235,0.8238,0.8236,0.8237,0.8238,0.8237,0.8236,0.8236,0.8238,0.8231,0.8241,0.8234,0.8236,0.8241,0.8236,0.8242,0.8241,0.8238,0.8237,0.8242,0.8233,0.8242,0.8239,0.8239,0.8239,0.8240,0.8242,0.8237,0.8238,0.8240,0.8238,0.8236",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.018537|-0.060173|-0.972898|-1.395759|-0.466135|-0.237299|-0.648960|-0.526547,936.06,
350,18.039125,3571.89,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8137,0.8028,0.8060,0.7900,0.8120,0.7841,0.8115,0.7338,0.8164,0.8162,0.8147,0.8126,0.8174,0.8071,0.8139,0.8148,0.8223,0.8229,0.8217,0.8216,0.8209,0.8221,0.8219,0.8219,0.8234,0.8234,0.8230,0.8235,0.8228,0.8236,0.8233,0.8236,0.8234,0.8231,0.8233,0.8235,0.8236,0.8241,0.8239,0.8237,0.8239,0.8235,0.8240,0.8233,0.8242,0.8240,0.8234,0.8241,0.8246,0.8238,0.8236,0.8242,0.8235,0.8239,0.8242,0.8235,0.8239,0.8235,0.8236,0.8241,0.8243,0.8242,0.8238,0.8241",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.015622|-0.060147|-0.991373|-1.414705|-0.471092|-0.241572|-0.659227|-0.531323,861.02,
400,18.421436,3542.05,0.00,,,2026.02,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8139,0.8036,0.8049,0.7879,0.8123,0.7856,0.8122,0.7393,0.8166,0.8164,0.8149,0.8133,0.8171,0.8071,0.8128,0.8149,0.8224,0.8226,0.8218,0.8215,0.8209,0.8216,0.8214,0.8230,0.8231,0.8241,0.8230,0.8242,0.8234,0.8235,0.8231,0.8227,0.8234,0.8235,0.8239,0.8243,0.8237,0.8233,0.8238,0.8234,0.8236,0.8242,0.8239,0.8240,0.8235,0.8236,0.8236,0.8236,0.8241,0.8241,0.8240,0.8243,0.8238,0.8242,0.8239,0.8239,0.8244,0.8242,0.8240,0.8240,0.8241,0.8239,0.8240,0.8236",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",-0.015563|-0.060220|-0.995132|-1.418566|-0.472178|-0.242535|-0.661650|-0.532274,824.54,
400,,,,17.063247,25732016.0759
