step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,52.643188,3669.62,2015.08,,,2015.08,243.41,407738.53,,,,104.36,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8147,0.8141,0.8149,0.8146,0.8144,0.8152,0.8151,0.8156,0.8162,0.8155,0.8151,0.8135,0.8146,0.8154,0.8158,0.8176,0.8162,0.8182,0.8174,0.8160,0.8180,0.8139,0.8217,0.8213,0.8215,0.8222,0.8220,0.8213,0.8208,0.8211,0.8230,0.8231,0.8227,0.8228,0.8231,0.8227,0.8227,0.8227,0.8234,0.8235,0.8234,0.8230,0.8237,0.8233,0.8233,0.8231,0.8240,0.8237,0.8234,0.8238,0.8229,0.8234,0.8233,0.8235,0.8238,0.8231,0.8236,0.8238,0.8239,0.8240,0.8234,0.8233",0.000000,512.00,,,,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3","-0.327699,0.186017,0.059298,-0.138232|-0.223828,-0.117600,-0.071211,0.236145|0.109320,-0.130131,-0.201568,0.179938|-0.212847,-0.166678,-0.111397,-0.135410|-0.207784,-0.493404,-0.262184,-0.041507|-0.183288,0.061313,0.117908,0.241911|-0.302470,0.133472,-0.238517,-0.391781|0.204978,-0.246720,-0.105711,0.278376","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,11.43,26.35,,14.54,773.95,
100,35.704575,3944.17,2015.08,,,2015.08,237.22,407742.53,,,,112.86,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8140,0.8141,0.8027,0.8137,0.8122,0.8139,0.8048,0.8151,0.8153,0.8158,0.8150,0.8138,0.8108,0.8140,0.8145,0.8185,0.8203,0.8187,0.8203,0.8195,0.8188,0.8196,0.8185,0.8230,0.8227,0.8221,0.8229,0.8231,0.8227,0.8223,0.8231,0.8233,0.8239,0.8237,0.8235,0.8239,0.8229,0.8234,0.8236,0.8238,0.8238,0.8241,0.8240,0.8244,0.8240,0.8242,0.8240,0.8245,0.8239,0.8234,0.8238,0.8238,0.8237,0.8238,0.8235,0.8239,0.8238,0.8242,0.8241,0.8239,0.8240,0.8232,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3","-0.327699,0.186017,0.059298,-0.138232|-0.223828,-0.117600,-0.071211,0.236145|0.109320,-0.130131,-0.201568,0.179938|-0.212847,-0.166678,-0.111397,-0.135410|-0.207784,-0.493404,-0.262184,-0.041507|-0.183288,0.061313,0.117908,0.241911|-0.302470,0.133472,-0.238517,-0.391781|0.204978,-0.246720,-0.105711,0.278376","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,11.25,26.28,,14.18,789.93,
150,26.972311,4070.46,2015.08,,,2015.08,194.30,407747.53,,,,113.19,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7113,0.7104,0.7094,0.6808,0.7102,0.7020,0.7119,0.6890,0.8156,0.8145,0.8150,0.8127,0.8124,0.8082,0.8134,0.8135,0.8200,0.8222,0.8200,0.8215,0.8205,0.8203,0.8210,0.8202,0.7926,0.7923,0.7925,0.7924,0.7911,0.7917,0.7918,0.7920,0.8230,0.8239,0.8234,0.8234,0.8235,0.8236,0.8237,0.8238,0.8238,0.8241,0.8243,0.8232,0.8240,0.8237,0.8242,0.8240,0.7214,0.7213,0.7211,0.7221,0.7216,0.7217,0.7216,0.7217,0.8245,0.8244,0.8239,0.8236,0.8237,0.8237,0.8245,0.8241",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,26.49,,11.90,789.62,
200,21.797575,4038.28,2015.08,,,2015.08,167.19,407750.53,,,,87.81,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7115,0.7091,0.7034,0.6378,0.7085,0.6951,0.7110,0.6692,0.8148,0.8135,0.8153,0.8109,0.8105,0.8064,0.8125,0.8106,0.8214,0.8217,0.8210,0.8224,0.8217,0.8207,0.8215,0.8218,0.7926,0.7923,0.7922,0.7922,0.7917,0.7920,0.7918,0.7920,0.8240,0.8232,0.8235,0.8239,0.8237,0.8237,0.8237,0.8234,0.8237,0.8237,0.8244,0.8238,0.8238,0.8235,0.8242,0.8240,0.7216,0.7214,0.7218,0.7220,0.7210,0.7221,0.7216,0.7222,0.8237,0.8234,0.8239,0.8243,0.8242,0.8237,0.8242,0.8247",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,26.03,,11.91,777.00,
250,18.726408,4058.65,2015.08,,,2015.08,175.19,407754.72,,,,95.56,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7101,0.7060,0.6941,0.5965,0.7068,0.6894,0.7093,0.6283,0.8154,0.8136,0.8153,0.8057,0.8099,0.8054,0.8124,0.8085,0.8212,0.8224,0.8216,0.8227,0.8219,0.8210,0.8219,0.8219,0.7924,0.7921,0.7925,0.7929,0.7923,0.7926,0.7925,0.7928,0.8234,0.8239,0.8238,0.8239,0.8241,0.8238,0.8243,0.8242,0.8243,0.8235,0.8240,0.8240,0.8245,0.8240,0.8238,0.8246,0.7212,0.7219,0.7218,0.7214,0.7212,0.7218,0.7221,0.7214,0.8237,0.8244,0.8246,0.8239,0.8238,0.8240,0.8239,0.8240",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,27.43,,11.57,769.47,
300,16.608984,4072.72,2015.08,,,2015.08,172.64,407760.72,,,,98.20,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7095,0.6964,0.6837,0.5705,0.7028,0.6855,0.7063,0.6213,0.8150,0.8109,0.8138,0.7962,0.8061,0.8033,0.8091,0.8011,0.8214,0.8225,0.8219,0.8234,0.8226,0.8216,0.8222,0.8224,0.7927,0.7930,0.7925,0.7933,0.7923,0.7930,0.7923,0.7924,0.8235,0.8238,0.8237,0.8237,0.8241,0.8238,0.8236,0.8236,0.8238,0.8231,0.8240,0.8234,0.8237,0.8242,0.8237,0.8243,0.7224,0.7211,0.7216,0.7218,0.7209,0.7214,0.7219,0.7219,0.8239,0.8240,0.8242,0.8236,0.8238,0.8240,0.8238,0.8236",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,25.95,,11.05,747.13,
350,14.640559,4044.60,2015.08,,,2015.08,152.94,407764.72,,,,98.06,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7094,0.6892,0.6693,0.5768,0.6994,0.6834,0.7024,0.6258,0.7125,0.7038,0.7064,0.6704,0.6975,0.6956,0.7003,0.6844,0.7198,0.7208,0.7200,0.7206,0.7200,0.7205,0.7206,0.7194,0.8239,0.8234,0.8233,0.8236,0.8224,0.8237,0.8234,0.8240,0.8234,0.8232,0.8234,0.8235,0.8239,0.8242,0.8240,0.8238,0.6305,0.6299,0.6301,0.6301,0.6309,0.6314,0.6300,0.6310,0.7938,0.7928,0.7924,0.7929,0.7924,0.7928,0.7932,0.7925,0.8239,0.8236,0.8237,0.8241,0.8243,0.8241,0.8238,0.8241",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,0.00,25.54,,12.65,761.95,
400,13.986838,4059.04,2015.08,,,2015.08,154.61,407768.72,,,,99.56,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7059,0.6802,0.6414,0.5733,0.6931,0.6767,0.6874,0.6418,0.7048,0.6819,0.6857,0.6154,0.6671,0.6742,0.6630,0.6433,0.7200,0.7206,0.7198,0.7209,0.7205,0.7198,0.7204,0.7208,0.8236,0.8240,0.8233,0.8244,0.8231,0.8236,0.8234,0.8230,0.8235,0.8235,0.8240,0.8244,0.8240,0.8234,0.8239,0.8234,0.6309,0.6305,0.6305,0.6308,0.6301,0.6306,0.6303,0.6305,0.7930,0.7931,0.7928,0.7932,0.7929,0.7930,0.7930,0.7929,0.8244,0.8243,0.8240,0.8239,0.8241,0.8239,0.8240,0.8236",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,0.00,26.85,,12.20,758.52,
450,13.099409,4069.02,2015.08,,,2015.08,161.12,407772.72,,,,106.09,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6980,0.6700,0.6133,0.5649,0.6812,0.6609,0.6787,0.6452,0.6641,0.6131,0.6258,0.5411,0.6294,0.6188,0.5780,0.5831,0.7206,0.7210,0.7200,0.7207,0.7202,0.7197,0.7211,0.7209,0.8237,0.8238,0.8234,0.8239,0.8229,0.8230,0.8239,0.8237,0.8235,0.8236,0.8237,0.8241,0.8240,0.8235,0.8244,0.8236,0.6303,0.6309,0.6310,0.6309,0.6303,0.6306,0.6307,0.6309,0.7931,0.7930,0.7926,0.7928,0.7922,0.7930,0.7925,0.7928,0.8236,0.8236,0.8240,0.8240,0.8241,0.8239,0.8242,0.8239",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,0.00,26.87,,13.63,817.03,
500,12.241757,4054.14,2015.08,,,2015.08,152.86,407778.72,,,,100.28,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6933,0.6633,0.5860,0.5643,0.6647,0.6515,0.6755,0.6447,0.5969,0.5506,0.5708,0.5095,0.5954,0.5701,0.5331,0.5290,0.7198,0.7211,0.7204,0.7215,0.7204,0.7207,0.7203,0.7203,0.8233,0.8237,0.8231,0.8237,0.8235,0.8239,0.8235,0.8243,0.8234,0.8241,0.8243,0.8235,0.8239,0.8245,0.8238,0.8235,0.6310,0.6308,0.6311,0.6306,0.6305,0.6302,0.6304,0.6301,0.7933,0.7924,0.7924,0.7934,0.7922,0.7929,0.7931,0.7927,0.8239,0.8238,0.8237,0.8238,0.8245,0.8242,0.8240,0.8240",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,0.00,25.07,,12.21,760.07,
