step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,step_time_ms,eval_time_s
50,52.643188,3184.52,2053.50,,,2053.50,140.33,407700.64,,,,78.30,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8147,0.8141,0.8149,0.8146,0.8144,0.8152,0.8151,0.8156,0.8162,0.8155,0.8151,0.8135,0.8146,0.8154,0.8158,0.8176,0.8162,0.8182,0.8174,0.8160,0.8180,0.8139,0.8217,0.8213,0.8215,0.8222,0.8220,0.8213,0.8208,0.8211,0.8230,0.8231,0.8227,0.8228,0.8231,0.8227,0.8227,0.8227,0.8234,0.8235,0.8234,0.8230,0.8237,0.8233,0.8233,0.8231,0.8240,0.8237,0.8234,0.8238,0.8229,0.8234,0.8233,0.8235,0.8238,0.8231,0.8236,0.8238,0.8239,0.8240,0.8234,0.8233",0.000000,512.00,,,,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|0,0,0,0,0,0,0,0|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3","-0.316114,0.189470,0.052843,-0.134871|-0.273597,-0.060932,-0.107799,0.138399|-0.028075,0.206298,-0.708153,0.067578|-0.686585,0.403758,-1.171288,0.452386|-0.111581,-1.349847,-0.921554,0.121312|1.197210,-0.248952,-0.212696,0.336582|-1.475753,0.145352,0.168097,-0.940413|0.654238,-0.344958,0.124979,0.929944","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},929.22,
100,35.704571,3447.01,2053.50,,,2053.50,141.17,407705.64,,,,79.56,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8140,0.8141,0.8027,0.8137,0.8122,0.8139,0.8048,0.8151,0.8153,0.8158,0.8150,0.8138,0.8108,0.8140,0.8145,0.8185,0.8203,0.8187,0.8203,0.8195,0.8188,0.8196,0.8185,0.8230,0.8227,0.8221,0.8229,0.8231,0.8227,0.8223,0.8231,0.8233,0.8239,0.8237,0.8235,0.8239,0.8229,0.8234,0.8236,0.8238,0.8238,0.8241,0.8240,0.8244,0.8240,0.8242,0.8240,0.8245,0.8239,0.8234,0.8238,0.8238,0.8237,0.8238,0.8235,0.8239,0.8238,0.8242,0.8241,0.8239,0.8240,0.8232,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|0,0,0,0,0,0,0,0|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3","-0.307573,0.191803,0.048033,-0.132887|-0.319851,0.046216,-0.143071,0.034295|-0.108274,0.539639,-1.246988,-0.079481|-0.903450,0.727892,-1.688091,0.758999|-0.047499,-1.810596,-1.217094,0.160090|1.618114,-0.372281,-0.317408,0.350887|-1.824719,0.088162,0.251368,-1.149217|0.760407,-0.404242,0.200582,1.163103","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},908.57,
150,26.975460,3803.83,2053.50,,,2053.50,110.67,407709.98,,,,70.78,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7113,0.7104,0.7094,0.6805,0.7102,0.7019,0.7119,0.6888,0.7133,0.7118,0.7129,0.7104,0.7102,0.7057,0.7108,0.7106,0.7174,0.7198,0.7178,0.7193,0.7184,0.7180,0.7187,0.7178,0.8236,0.8233,0.8235,0.8236,0.8223,0.8228,0.8229,0.8230,0.8230,0.8239,0.8234,0.8234,0.8235,0.8236,0.8237,0.8238,0.6300,0.6305,0.6309,0.6301,0.6305,0.6302,0.6306,0.6308,0.7926,0.7925,0.7922,0.7927,0.7926,0.7926,0.7928,0.7927,0.8245,0.8244,0.8239,0.8236,0.8237,0.8237,0.8245,0.8241",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},812.88,
200,21.813766,3846.43,2053.50,,,2053.50,120.64,407201.44,,,,80.50,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7115,0.7091,0.7031,0.6370,0.7084,0.6949,0.7110,0.6682,0.7124,0.7108,0.7127,0.7081,0.7080,0.7036,0.7100,0.7081,0.7189,0.7194,0.7189,0.7205,0.7192,0.7188,0.7192,0.7195,0.8237,0.8236,0.8234,0.8234,0.8229,0.8232,0.8228,0.8232,0.8240,0.8232,0.8235,0.8239,0.8237,0.8237,0.8237,0.8234,0.6301,0.6304,0.6308,0.6314,0.6309,0.6304,0.6299,0.6308,0.7928,0.7923,0.7929,0.7934,0.7927,0.7929,0.7925,0.7934,0.8237,0.8234,0.8239,0.8243,0.8242,0.8237,0.8242,0.8247",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},779.73,
200,,,,20.337895,680198354.8461
250,18.760553,2557.07,2053.50,,,2053.50,129.86,407212.36,,,,87.78,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7100,0.7059,0.6936,0.5959,0.7067,0.6892,0.7093,0.6270,0.7131,0.7110,0.7130,0.7019,0.7070,0.7022,0.7096,0.7057,0.7189,0.7201,0.7192,0.7202,0.7196,0.7192,0.7197,0.7200,0.8235,0.8232,0.8235,0.8238,0.8232,0.8237,0.8234,0.8239,0.8234,0.8239,0.8237,0.8239,0.8241,0.8238,0.8243,0.8242,0.6302,0.6304,0.6308,0.6300,0.6309,0.6306,0.6303,0.6309,0.7927,0.7929,0.7929,0.7925,0.7924,0.7932,0.7931,0.7925,0.8237,0.8244,0.8246,0.8239,0.8238,0.8240,0.8239,0.8240",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},798.55,
300,16.671009,3916.39,2053.50,,,2053.50,140.44,407224.91,,,,97.80,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7095,0.6964,0.6828,0.5699,0.7025,0.6854,0.7063,0.6203,0.7128,0.7082,0.7115,0.6910,0.7032,0.7002,0.7060,0.6979,0.7190,0.7203,0.7192,0.7213,0.7207,0.7193,0.7199,0.7201,0.8238,0.8239,0.8236,0.8243,0.8234,0.8242,0.8233,0.8233,0.8235,0.8238,0.8237,0.8237,0.8241,0.8238,0.8236,0.8236,0.6306,0.6291,0.6308,0.6295,0.6300,0.6304,0.6301,0.6304,0.7930,0.7927,0.7927,0.7931,0.7923,0.7930,0.7930,0.7930,0.8239,0.8240,0.8242,0.8236,0.8238,0.8240,0.8238,0.8236",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},792.73,
350,14.735165,3925.44,2053.50,,,2053.50,130.44,407228.91,,,,90.11,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7093,0.6895,0.6690,0.5765,0.6991,0.6833,0.7026,0.6251,0.7126,0.7038,0.7072,0.6681,0.6973,0.6958,0.6993,0.6855,0.7198,0.7208,0.7200,0.7207,0.7200,0.7205,0.7205,0.7194,0.8239,0.8234,0.8233,0.8236,0.8224,0.8237,0.8234,0.8240,0.8234,0.8232,0.8234,0.8235,0.8239,0.8242,0.8240,0.8238,0.6305,0.6299,0.6301,0.6301,0.6309,0.6314,0.6300,0.6310,0.7938,0.7928,0.7924,0.7929,0.7924,0.7928,0.7932,0.7925,0.8239,0.8236,0.8237,0.8241,0.8243,0.8241,0.8238,0.8241",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},800.51,
400,14.107028,3944.00,2053.50,,,2053.50,135.80,407232.91,,,,94.00,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7060,0.6810,0.6425,0.5733,0.6931,0.6771,0.6885,0.6404,0.7062,0.6843,0.6907,0.6169,0.6691,0.6763,0.6639,0.6473,0.7200,0.7206,0.7197,0.7209,0.7205,0.7198,0.7204,0.7208,0.8236,0.8240,0.8233,0.8244,0.8231,0.8236,0.8234,0.8230,0.8235,0.8235,0.8240,0.8244,0.8240,0.8234,0.8239,0.8234,0.6309,0.6305,0.6305,0.6308,0.6301,0.6306,0.6303,0.6305,0.7930,0.7931,0.7928,0.7932,0.7929,0.7930,0.7930,0.7929,0.8244,0.8243,0.8240,0.8239,0.8241,0.8239,0.8240,0.8236",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},787.39,
400,,,,12.244089,207749.7022
