step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,51.122349,4314.54,2029.14,,,2029.14,109.66,407776.80,,,,65.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.46,
100,35.772282,4711.18,2029.14,,,2029.14,105.86,407777.80,,,,62.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.78,
150,27.400810,4770.10,2029.14,,,2029.14,107.56,407065.42,,,,64.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.43,
200,22.164970,4765.70,2029.14,,,2029.14,98.45,407193.42,,,,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.98,
250,18.875608,4787.95,2029.14,,,2029.14,108.94,407193.42,,,,67.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.76,
300,16.383163,4830.98,2029.14,,,2029.14,112.09,407193.42,,,,68.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.10,
350,14.750668,4799.73,2029.14,,,2029.14,97.36,407193.42,,,,55.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.86,
400,13.591746,4803.66,2029.14,,,2029.14,97.02,407193.42,,,,55.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.59,
450,12.800769,4817.79,2029.14,,,2029.14,102.03,407193.42,,,,59.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.45,
500,12.270960,4810.53,2029.14,,,2029.14,113.77,407193.42,,,,70.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.40,
500,,,,10.490902,35986.5953
550,11.391343,3302.97,2029.14,,,2029.14,100.56,407195.34,,,,65.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.24,
600,11.132601,4198.41,2029.14,,,2029.14,100.70,407195.34,,,,64.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.32,
650,10.620384,4853.94,2029.14,,,2029.14,102.47,407195.34,,,,67.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.04,
700,9.985044,4833.92,2029.14,,,2029.14,95.78,407195.34,,,,61.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.70,
750,9.911026,4850.82,2029.14,,,2029.14,97.27,407195.34,,,,62.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.13,
800,10.068379,4856.34,2029.14,,,2029.14,100.86,407067.34,,,,64.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.78,
850,9.405752,4905.14,2029.14,,,2029.14,101.72,407195.34,,,,66.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.64,
900,9.868292,4894.32,2029.14,,,2029.14,98.84,407195.34,,,,63.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.86,
950,9.380665,4842.28,2029.14,,,2029.14,101.61,407195.34,,,,66.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.26,
