step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,60.610870,4368.16,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1756.94,34083.17,354.38,2.22,4004.71,1750.35,1753.02,0.00,2836.87,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.22,
100,68.985329,4086.54,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.05,34083.17,354.44,2.22,4004.71,1750.45,1753.12,0.00,2855.88,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.14,
150,45.446884,4174.52,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.83,34083.17,355.16,2.22,4004.72,1751.18,1753.86,0.00,2850.07,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.63,
200,30.087551,4017.58,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.84,34083.17,355.16,2.22,4004.72,1751.18,1753.86,0.00,2852.23,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.38,
250,23.267962,4009.52,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.86,34083.17,355.16,2.22,4004.72,1751.20,1753.88,0.00,2854.19,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,80.45,
300,19.692997,4123.83,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.86,34083.17,355.16,2.22,4004.72,1751.20,1753.88,0.00,2842.16,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.66,
350,17.591675,4215.62,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.88,34083.17,355.16,2.22,4004.72,1751.22,1753.90,0.00,2848.96,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.65,
400,14.980913,4247.51,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.89,34083.17,355.16,2.22,4004.72,1751.23,1753.91,0.00,2845.77,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.68,
450,13.954773,4339.69,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.89,34083.17,355.16,2.22,4004.72,1751.23,1753.92,0.00,2847.97,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.81,
500,13.883840,4192.26,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.89,34083.17,355.16,2.22,4004.72,1751.23,1753.92,0.00,2849.81,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.56,
500,,,,11.640011,113551.3756
550,12.314731,3652.98,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.91,34083.17,355.16,2.22,4004.72,1751.25,1753.93,0.00,2848.02,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.75,
600,12.304930,4028.69,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.91,34083.17,355.16,2.22,4004.72,1751.25,1753.93,0.00,2865.49,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.26,
650,16.737209,4197.05,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.92,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2845.40,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,80.09,
700,13.854338,4329.84,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.92,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2842.48,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.70,
750,10.411526,4389.00,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.92,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2843.91,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.11,
800,10.581010,4382.44,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.92,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2849.82,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.50,
850,10.437840,4344.24,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.93,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2847.01,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.30,
