step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,62.781059,9016.94,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.09,
100,58.637226,11990.53,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.11,
150,37.463821,10403.31,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.64,
200,30.874622,11997.52,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.83,
250,22.025276,10336.47,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.37,
300,19.116907,12000.02,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.11,
350,17.400539,10331.64,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.84,
400,17.981499,11986.40,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.46,
450,14.292566,10312.38,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.07,
500,15.540335,10349.36,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.70,
500,,,,13.024529,453399.5213
550,12.490215,9217.16,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.22,
600,11.763537,10021.77,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.69,
650,12.230227,11984.29,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.13,
700,11.417839,10555.37,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.92,
750,11.058566,12029.87,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.14,
800,10.055206,10299.54,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.24,
850,10.974152,12063.75,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.56,
900,13.392540,10288.48,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.18,
950,10.631186,12145.15,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.52,
1000,10.217407,10234.95,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.20,
1000,,,,8.144772,3445.3186
1050,9.847919,8132.00,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,35.68,
1100,9.713724,12221.17,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.95,
1150,9.851040,10133.95,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.78,
1200,9.650182,12271.61,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.74,
1250,9.618320,10141.20,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.56,
1300,9.815542,12283.51,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.92,
1350,9.438820,9822.77,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.72,
1400,9.265293,12053.85,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.93,
1450,9.507461,10556.20,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.33,
1500,9.874009,11955.97,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.90,
1500,,,,8.816828,6746.8283
1550,8.966202,8204.09,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.92,
1600,9.232826,10296.11,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.64,
1650,9.031289,12039.48,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,34.71,
1700,8.823658,10275.56,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.25,
1750,9.049720,12049.78,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.43,
1800,13.663742,10278.90,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,35.19,
