step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,53.896889,5031.86,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2017.81,29605.78,355.06,2.22,4267.77,2011.05,2013.72,0.00,2992.10,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.08,
100,37.444885,5001.33,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2017.97,29605.78,355.12,2.22,4267.77,2011.21,2013.88,0.00,2999.47,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.52,
150,35.148159,5100.06,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.66,29605.78,355.78,2.22,4267.77,2011.91,2014.57,0.00,2990.25,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.84,
200,27.034311,5010.41,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.67,29605.78,355.78,2.22,4267.77,2011.91,2014.58,0.00,2987.19,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.44,
250,21.906515,5138.96,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.69,29605.78,355.78,2.22,4267.77,2011.93,2014.60,0.00,3001.50,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.84,
300,17.628479,5058.37,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.69,29605.78,355.78,2.22,4267.77,2011.93,2014.60,0.00,2994.93,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.62,
350,15.546295,5085.44,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.73,29605.78,355.78,2.22,4267.77,2011.96,2014.63,0.00,2984.77,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.91,
400,13.865097,5006.82,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.74,29605.78,355.78,2.22,4267.77,2011.98,2014.64,0.00,2984.77,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.73,
450,13.085689,5010.87,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.74,29605.78,355.78,2.22,4267.77,2011.98,2014.64,0.00,2987.68,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.22,
500,12.727894,5014.78,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.76,29605.78,355.78,2.22,4267.77,2012.00,2014.66,0.00,2989.61,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.39,
500,,,,10.984387,58946.5729
550,11.607170,4643.36,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.77,29605.78,355.78,2.22,4267.77,2012.00,2014.67,0.00,2985.22,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.60,
600,11.611088,5005.36,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.77,29605.78,355.78,2.22,4267.77,2012.00,2014.67,0.00,2993.25,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.52,
650,10.646615,5019.47,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.78,29605.78,355.78,2.22,4267.77,2012.01,2014.68,0.00,2992.52,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.23,
700,10.700073,5068.18,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.78,29605.78,355.78,2.22,4267.77,2012.01,2014.68,0.00,2984.75,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.78,
750,11.811811,4993.04,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.78,29605.78,355.78,2.22,4267.77,2012.02,2014.68,0.00,2993.80,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,57.11,
800,10.067267,5104.40,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2982.41,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.29,
850,10.164618,5032.43,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2987.77,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.35,
900,9.545361,5039.87,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2989.19,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.52,
950,9.615285,5045.42,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2995.80,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.58,
