step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,51.122349,4516.96,1925.12,,,1925.12,64.33,407708.30,,,,31.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.52,
100,35.772282,5121.13,1925.12,,,1925.12,98.94,407708.30,,,,55.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.19,
150,27.528868,5138.08,1925.12,,,1925.12,98.27,407178.22,,,,54.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.42,
200,22.837759,5075.46,1925.12,,,1925.12,106.70,407186.22,,,,63.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.90,
200,,,,21.211513,1629457269.2036
250,20.493778,3598.96,1925.12,,,1925.12,100.95,407188.14,,,,60.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.37,
300,19.062111,5191.91,1925.12,,,1925.12,93.11,407188.14,,,,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.43,
350,18.650810,5180.29,1925.12,,,1925.12,94.23,407188.14,,,,55.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.15,
400,18.530727,5211.95,1925.12,,,1925.12,99.12,407188.14,,,,60.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.66,
400,,,,16.994817,24030078.9824
