step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,step_time_ms,eval_time_s
50,51.122349,4414.84,0.00,,,2046.56,,,,,,,,649.05,
100,35.772282,4818.91,0.00,,,2046.56,,,,,,,,610.34,
150,27.403885,4708.96,0.00,,,2046.56,,,,,,,,665.46,
200,22.181690,4796.99,0.00,,,2046.56,,,,,,,,614.94,
200,,,,20.497069,797561230.7858
250,18.912050,3371.42,0.00,,,2046.56,,,,,,,,641.75,
300,16.442860,4815.36,0.00,,,2046.56,,,,,,,,668.15,
350,14.834899,4756.87,0.00,,,2046.56,,,,,,,,614.37,
400,13.711887,5595.60,0.00,,,2046.56,,,,,,,,528.19,
400,,,,12.126238,184653.7337
450,12.941811,3711.56,0.00,,,2046.56,,,,,,,,530.46,
500,12.444179,5927.49,0.00,,,2046.56,,,,,,,,508.88,
550,11.571131,5930.98,0.00,,,2046.56,,,,,,,,521.85,
600,11.571124,5004.83,0.00,,,2046.56,,,,,,,,514.84,
600,,,,9.728627,16791.4833
650,10.741312,3819.35,0.00,,,2046.56,,,,,,,,509.81,
700,10.435743,5970.82,0.00,,,2046.56,,,,,,,,541.76,
750,10.147866,5941.06,0.00,,,2046.56,,,,,,,,522.06,
800,9.591576,5929.93,0.00,,,2046.56,,,,,,,,514.27,
800,,,,8.742391,6262.8545
850,9.975953,2956.41,0.00,,,2046.56,,,,,,,,529.47,
900,9.708918,5356.45,0.00,,,2046.56,,,,,,,,531.34,
950,9.609671,5853.59,0.00,,,2046.56,,,,,,,,517.26,
1000,9.640069,5941.12,0.00,,,2046.56,,,,,,,,508.78,
1000,,,,8.233127,3763.5838
1050,9.206504,3820.80,0.00,,,2046.56,,,,,,,,513.30,
1100,9.464848,5875.49,0.00,,,2046.56,,,,,,,,548.66,
1150,9.028953,5934.90,0.00,,,2046.56,,,,,,,,531.05,
1200,9.098900,4976.04,0.00,,,2046.56,,,,,,,,517.82,
1200,,,,7.976632,2912.1058
1250,9.133451,3699.53,0.00,,,2046.56,,,,,,,,500.80,
1300,9.037348,5516.99,0.00,,,2046.56,,,,,,,,501.12,
1350,8.895891,5642.66,0.00,,,2046.56,,,,,,,,534.31,
1400,8.766401,5854.70,0.00,,,2046.56,,,,,,,,507.48,
1400,,,,7.836743,2531.9451
1450,8.963243,3620.60,0.00,,,2046.56,,,,,,,,630.31,
1500,8.969744,5360.44,0.00,,,2046.56,,,,,,,,570.05,
1550,9.019380,5651.62,0.00,,,2046.56,,,,,,,,515.37,
1600,8.930598,5982.63,0.00,,,2046.56,,,,,,,,510.73,
1600,,,,7.762572,2350.9425
1650,8.556735,3734.08,0.00,,,2046.56,,,,,,,,508.44,
1700,9.018688,5964.41,0.00,,,2046.56,,,,,,,,510.69,
1750,8.876143,5256.75,0.00,,,2046.56,,,,,,,,863.16,
1800,8.607716,3689.17,0.00,,,2046.56,,,,,,,,519.53,
1800,,,,7.728725,2272.7018
1850,8.613429,3784.44,0.00,,,2046.56,,,,,,,,568.88,
1900,8.910467,5003.84,0.00,,,2046.56,,,,,,,,547.44,
1950,8.766705,5374.07,0.00,,,2046.56,,,,,,,,625.13,
2000,8.850159,5622.95,0.00,,,2046.56,,,,,,,,510.64,
2000,,,,7.723424,2260.6877
