step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,head_groups,step_time_ms,eval_time_s
50,51.122349,4525.51,0.00,,,2019.72,,,,,,,,,,,565.96,
100,35.772282,5024.74,0.00,,,2019.72,,,,,,,,,,,592.65,
150,27.400812,5031.90,0.00,,,2019.72,,,,,,,,,,,606.97,
200,22.164970,5124.64,0.00,,,2019.72,,,,,,,,,,,578.18,
200,,,,20.479318,783528809.9283
250,18.875608,3600.29,0.00,,,2019.72,,,,,,,,,,,583.69,
300,16.383163,5212.35,0.00,,,2019.72,,,,,,,,,,,579.71,
350,14.750668,5027.19,0.00,,,2019.72,,,,,,,,,,,662.44,
400,13.591747,5207.18,0.00,,,2019.72,,,,,,,,,,,550.23,
400,,,,12.009818,164360.5724
450,12.800769,3585.60,0.00,,,2019.72,,,,,,,,,,,559.54,
500,12.270960,4661.95,0.00,,,2019.72,,,,,,,,,,,688.05,
550,11.391344,4334.88,0.00,,,2019.72,,,,,,,,,,,638.24,
600,11.332218,4190.37,0.00,,,2019.72,,,,,,,,,,,568.29,
600,,,,9.529732,13762.8990
650,10.520685,3451.74,0.00,,,2019.72,,,,,,,,,,,572.28,
700,10.193339,4929.46,0.00,,,2019.72,,,,,,,,,,,699.64,
750,9.881947,4625.24,0.00,,,2019.72,,,,,,,,,,,595.22,
800,9.319563,4580.08,0.00,,,2019.72,,,,,,,,,,,652.64,
800,,,,8.460643,4725.0944
850,9.670612,3048.75,0.00,,,2019.72,,,,,,,,,,,664.31,
900,9.321594,4639.33,0.00,,,2019.72,,,,,,,,,,,830.71,
950,9.227199,4969.68,0.00,,,2019.72,,,,,,,,,,,534.03,
1000,9.256233,5391.01,0.00,,,2019.72,,,,,,,,,,,557.34,
1000,,,,7.957996,2858.3381
1050,8.820787,3050.28,0.00,,,2019.72,,,,,,,,,,,575.74,
1100,9.055027,4977.40,0.00,,,2019.72,,,,,,,,,,,557.24,
1150,8.647574,5023.86,0.00,,,2019.72,,,,,,,,,,,543.48,
1200,8.649500,4430.40,0.00,,,2019.72,,,,,,,,,,,520.78,
1200,,,,7.655975,2113.2335
1250,8.659798,2874.26,0.00,,,2019.72,,,,,,,,,,,525.79,
1300,8.546648,5545.30,0.00,,,2019.72,,,,,,,,,,,621.35,
1350,8.345758,5384.15,0.00,,,2019.72,,,,,,,,,,,520.06,
1400,8.300097,5277.91,0.00,,,2019.72,,,,,,,,,,,636.72,
1400,,,,7.422747,1673.6241
1450,8.400225,3358.68,0.00,,,2019.72,,,,,,,,,,,537.55,
1500,8.393634,5474.36,0.00,,,2019.72,,,,,,,,,,,606.69,
1550,8.384848,4897.62,0.00,,,2019.72,,,,,,,,,,,753.84,
1600,8.194765,5586.35,0.00,,,2019.72,,,,,,,,,,,521.59,
1600,,,,7.288469,1463.3281
1650,7.946223,3610.42,0.00,,,2019.72,,,,,,,,,,,576.69,
1700,8.260036,5455.12,0.00,,,2019.72,,,,,,,,,,,527.74,
1750,8.130014,5484.57,0.00,,,2019.72,,,,,,,,,,,523.31,
1800,7.925132,4100.96,0.00,,,2019.72,,,,,,,,,,,613.13,
1800,,,,7.210482,1353.5449
