run,final_step,train_loss,val_loss,val_ppl,tok_s,gpu_alloc_max_mb,avg_window,resolution_std,branch_usage_freq,window_ablation_mode_freq,window_ablation_changed_frac,csv
quality-4096-phase1-fixed-1024-seed0_fixed-1024,3000,8.560406,7.283394,1455.9215,1247.92,37193.72,1024.00,0.00,{'1024': 1.0},{'fixed_window': 1.0},0.765625,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-fixed-1024-seed0_fixed-1024.csv
quality-4096-phase1-fixed-2048-seed0_fixed-2048,3000,8.554174,7.303891,1486.0704,1245.59,37195.77,2048.00,0.00,{'2048': 1.0},{'fixed_window': 1.0},0.906250,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-fixed-2048-seed0_fixed-2048.csv
quality-4096-phase1-fixed-random-grouping-seed0_fixed-random-grouping,3000,8.574179,7.283056,1455.4297,1239.22,37386.53,1152.00,352.00,"{'512': 0.625, '1024': 0.1875, '4096': 0.125, '2048': 0.0625}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-fixed-random-grouping-seed0_fixed-random-grouping.csv
quality-4096-phase1-full-adaptive-seed0_full-adaptive,3000,8.582784,7.299678,1479.8233,1284.85,37726.39,1424.00,528.00,"{'512': 0.53125, '1024': 0.1875, '4096': 0.1875, '2048': 0.09375}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-full-adaptive-seed0_full-adaptive.csv
quality-4096-phase1-full-adaptive-shuffle-post-select-seed0_full-adaptive-shuffle-post-select,3000,8.723300,7.340420,1541.3586,1109.70,37691.34,1296.00,341.07,"{'512': 0.5625, '1024': 0.19270833333333334, '4096': 0.15104166666666666, '2048': 0.09374999999999999}",{'shuffle_post_select': 1.0},0.197917,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-full-adaptive-shuffle-post-select-seed0_full-adaptive-shuffle-post-select.csv
quality-4096-phase1-pure-baseline-seed0_pure-baseline,3000,8.622456,7.322616,1514.1601,1395.18,36022.24,,,{},,,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-pure-baseline-seed0_pure-baseline.csv
quality-4096-phase1-shallow-control-interval10-seed0_shallow-control-interval10,3000,8.568014,7.277523,1447.3977,1052.77,37641.52,1549.33,650.77,"{'512': 0.4635416666666667, '1024': 0.21875, '4096': 0.21354166666666666, '2048': 0.10416666666666666}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-control-interval10-seed0_shallow-control-interval10.csv
quality-4096-phase1-shallow-freeze-seed0_shallow-freeze,3000,8.529487,7.291971,1468.4625,1338.53,37644.53,1536.00,654.66,"{'512': 0.46875, '1024': 0.22395833333333334, '4096': 0.21354166666666669, '2048': 0.09375}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-freeze-seed0_shallow-freeze.csv
quality-4096-phase1-shallow-no512-seed0_shallow-no512,3000,8.910921,7.293451,1470.6375,1207.89,37117.70,2277.33,635.89,"{'4096': 0.3020833333333333, '2048': 0.3177083333333333, '1024': 0.38020833333333337}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-no512-seed0_shallow-no512.csv
quality-4096-phase1-shallow-random-uniform-seed0_shallow-random-uniform,3000,8.550664,7.295536,1473.7066,1238.74,38111.03,1920.00,1336.10,"{'512': 0.25, '2048': 0.18749999999999997, '1024': 0.29166666666666663, '4096': 0.27083333333333337}",{'random_uniform': 1.0},0.744792,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-random-uniform-seed0_shallow-random-uniform.csv
quality-4096-phase1-shallow-resolution-ema030-seed0_shallow-resolution-ema030,3000,8.631633,7.283815,1456.5338,1244.52,37737.65,1549.33,650.77,"{'512': 0.4635416666666667, '1024': 0.21875, '4096': 0.21354166666666666, '2048': 0.10416666666666666}",{'adaptive': 1.0},0.000000,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-resolution-ema030-seed0_shallow-resolution-ema030.csv
quality-4096-phase1-shallow-shuffle-post-select-seed0_shallow-shuffle-post-select,3000,8.585091,7.307424,1491.3306,1339.99,37644.52,1536.00,654.66,"{'512': 0.46875, '1024': 0.22395833333333334, '4096': 0.21354166666666669, '2048': 0.09375}",{'shuffle_post_select': 1.0},0.322917,experiments/aah_quality_structure_lab/results/phase1/quality-4096-phase1-shallow-shuffle-post-select-seed0_shallow-shuffle-post-select.csv
