backend,method,final_step,val_loss,val_ppl,train_loss_last,attn_ratio_acr_last,backend_realized_acr_last,tok_s_last,csv_mem_mb_last,peak_memory_mb_profile,backend_realized_elements_est_profile,realized_attention_flops_formula_ratio,profiler_attention_flops_ratio,profiler_total_flops_ratio,checkpoint_loaded_for_profile,backend_names_profile,backend_fallback_reasons_profile
FlexAttention,pure,10000,6.481104,652.6909,5.901722,1.000000,1.000000,5854.63,7591.22,6568.80029296875,3221225472.0,,1.0,1.0,True,flex_attention,
FlexAttention,grouping_off,10000,6.459817,638.9440,5.729896,0.589844,0.589844,4930.45,7591.62,7067.73974609375,1868562432.0,0.580078125,1.0,1.0000000339457076,True,flex_attention,
FlexAttention,full_adaptive,10000,6.449417,632.3335,5.624217,0.233073,0.233073,4390.44,7593.38,7377.24609375,803209216.0,0.24934895833333334,1.0,1.0000000845297088,True,flex_attention,
FlexAttention,shallow_freeze,10000,6.453173,634.7131,5.596777,0.358073,0.358073,4558.43,7593.26,7081.208984375,1438646272.0,0.4466145833333333,1.0,1.0000000488198035,True,flex_attention,
FlexAttention,deep_practical_reuse,10000,6.442028,627.6783,5.584321,0.277344,0.277344,4638.40,7593.22,7411.4765625,939524096.0,0.2916666666666667,1.0,1.00000006718627,True,flex_attention,
FlashAttention,pure,10000,6.465980,642.8943,5.866769,1.000000,1.000000,16185.48,7610.46,4543.6220703125,3221225472.0,,1.0,1.0,True,flash_attn,
FlashAttention,grouping_off,10000,6.467526,643.8887,5.726835,0.587891,0.587891,15448.42,7610.53,4541.7314453125,1904214016.0,0.5911458333333334,1.0,1.000000046860566,True,flash_attn,
FlashAttention,full_adaptive,10000,6.460208,639.1940,5.532239,0.313151,0.313151,12323.51,7615.54,4545.5205078125,1046478848.0,0.3248697916666667,1.0,1.0000001077643832,True,flash_attn,
FlashAttention,shallow_freeze,10000,6.447206,630.9369,5.523749,0.394531,0.394531,13252.78,7615.54,4542.5205078125,1082130432.0,0.3359375,1.0,1.0000000673936058,True,flash_attn,
FlashAttention,deep_practical_reuse,10000,6.441645,627.4379,5.558937,0.332031,0.332031,12631.90,7615.54,4542.5205078125,1002438656.0,0.3111979166666667,1.0,1.0000000927477102,True,flash_attn,
