step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,effective_attn_elements,effective_ACR,dense_kernel_actual_elements_est,backend_realized_elements_est,backend_realized_ACR_est,backend_name,requested_backend,backend_bucket_counts,backend_kernel_calls,backend_time_ms,backend_fallback_reasons,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,control_feature_time_ms,hierarchy_time_ms,window_select_time_ms,control_mapping_time_ms,diagnostics_pack_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s,val_group_count_total,val_group_count_level0,val_group_count_per_level,path_mode_freq,train_group_counts_per_level,controller_logits_std_per_level,win_idx_pre_clamp,win_idx_post_clamp,decision_logits_per_level,decision_logits_var_per_level,controller_input_per_level,controller_input_cos_sim_mean_per_level,controller_input_cos_sim_min_per_level,controller_input_l2_dist_mean_per_level,controller_input_dim_var_mean_per_level,decision_logits_margin_mean_per_level,decision_logits_margin_min_per_level,decision_argmax_diversity_frac_per_level,sibling_feature_delta_norm_mean_per_level,sibling_feature_delta_norm_min_per_level,sibling_feature_delta_norm_max_per_level,sibling_feature_cos_mean_per_level,sibling_feature_cos_min_per_level,sibling_logit_delta_l2_mean_per_level,sibling_logit_delta_l2_max_per_level,sibling_logit_delta_abs_mean_per_level,sibling_logit_delta_abs_max_per_level,sibling_ranking_diff_frac_per_level,sibling_top1_differ_frac_per_level,sibling_top1_ids_per_level,pairwise_bias_l2_mean_per_level,pairwise_bias_l2_max_per_level,pairwise_bias_abs_mean_per_level,pairwise_bias_abs_max_per_level,pairwise_bias_top1_changed_frac_per_level,pairwise_base_top1_ids_per_level,joint_pair_count_per_level,joint_output_delta_l2_mean_per_level,joint_output_delta_l2_max_per_level,joint_output_abs_delta_mean_per_level,joint_output_abs_delta_max_per_level,joint_top1_changed_frac_per_level,joint_base_top1_ids_per_level,joint_output_scale_per_level,decision_raw_idx_per_level,decision_parent_idx_per_level,decision_post_parent_idx_per_level,decision_differ_from_parent_frac_per_level,decision_unique_raw_idx_per_level,decision_unique_post_parent_idx_per_level,decision_non_one_raw_count_per_level,decision_non_one_post_parent_count_per_level,decision_head_idx_before_execution_mapping,decision_head_idx_after_execution_mapping,decision_unique_head_idx_before_execution_mapping,decision_unique_head_idx_after_execution_mapping,decision_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_head_idx_before_execution_mapping,decision_all_layers_unique_head_idx_after_execution_mapping,decision_all_layers_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_raw_idx_per_level,decision_all_layers_unique_post_parent_idx_per_level,all_layers_sibling_ranking_diff_frac_per_level,all_layers_sibling_top1_differ_frac_per_level,all_layers_sibling_top1_ids_per_level,all_layers_joint_pair_count_per_level,all_layers_joint_output_delta_l2_mean_per_level,all_layers_joint_output_abs_delta_mean_per_level,all_layers_joint_top1_changed_frac_per_level,all_layers_joint_base_top1_ids_per_level,hierarchy_head_group_map_per_level,hierarchy_group_members_per_level,cluster_metric_per_level,cluster_threshold_kind_per_level,cluster_threshold_per_level,cluster_item_count_per_level,cluster_groups_before_merge_per_level,cluster_groups_after_merge_per_level,cluster_groups_merged_per_level,cluster_sim_min_per_level,cluster_sim_mean_per_level,cluster_sim_max_per_level,cluster_sim_std_per_level,cluster_forced_bipartition_per_level,cluster_force_split_anchor_similarity_per_level,cluster_origin_per_level,cluster_forced_bipartition_allowed_per_level,cluster_groups_before_force_per_level,cluster_feature_norm_mean_per_level,cluster_feature_norm_std_per_level,cluster_feature_dim_var_mean_per_level,cluster_feature_dim_var_std_per_level,cluster_feature_l2_dist_mean_per_level,cluster_feature_l2_dist_std_per_level,cluster_feature_top_singular_ratio_per_level,hierarchy_level_added_per_level,hierarchy_growth_stopped_per_level,hierarchy_stop_reason_per_level,cluster_forced_bipartition_level0,cluster_force_split_anchor_similarity_level0
20,105.328621,3889.77,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1915.31,242377.13,511.52,2.36,4374.19,1611.82,1741.74,0.00,57175.02,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.46,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.46,0.00,0.15,1929.02,,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
40,66.842751,4151.52,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1921.43,242383.17,511.58,2.36,4380.24,1617.85,1747.77,0.00,57195.91,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.19,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.19,0.00,0.16,1926.25,,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
60,55.432140,4177.03,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1923.84,242385.32,511.83,2.36,4382.39,1620.27,1750.19,0.00,57204.07,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.74,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.74,0.00,0.15,1933.15,,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
80,69.252235,4153.17,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1924.66,242385.68,511.83,2.36,4382.75,1621.09,1751.00,0.00,57218.06,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.84,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.84,0.00,0.15,1935.26,,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
100,84.110107,4149.60,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1925.88,242386.86,511.83,2.36,4383.94,1622.30,1752.22,0.00,57220.10,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.15,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.15,0.00,0.14,1924.15,,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,79.778775,44410101534989563542436235880431616.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,65.279465,3777.48,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1926.20,242387.05,511.89,2.36,4384.13,1622.56,1752.49,0.00,57222.38,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.50,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.50,0.00,0.15,1929.48,4.18,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
140,55.634933,4150.35,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1926.23,242388.05,511.89,2.36,4385.13,1622.59,1752.52,0.00,57223.38,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.34,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.34,0.00,0.15,1927.51,4.18,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
160,40.545769,4145.16,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1927.37,242389.05,511.89,2.36,4386.13,1561.56,1680.72,0.00,59218.78,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.12,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.12,0.00,0.15,1922.97,4.18,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
180,40.726685,4182.31,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1927.54,242389.22,511.89,2.36,4386.30,1561.73,1680.89,0.00,59222.42,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.74,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.74,0.00,0.16,1933.13,4.18,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
