regime,layer_id,head_id,selected_window_idx,selected_window_size,pre_clamp_window_idx,final_window_idx,final_window_size,ACR
grouping_off,0,0,2,2048,3,2,2048,1.0
grouping_off,0,1,2,2048,3,2,2048,1.0
grouping_off,0,2,2,2048,3,2,2048,1.0
grouping_off,0,3,2,2048,3,2,2048,1.0
grouping_off,0,4,2,2048,3,2,2048,1.0
grouping_off,0,5,2,2048,3,2,2048,1.0
grouping_off,0,6,2,2048,3,2,2048,1.0
grouping_off,0,7,2,2048,3,2,2048,1.0
grouping_off,0,8,2,2048,3,2,2048,1.0
grouping_off,0,9,2,2048,3,2,2048,1.0
grouping_off,0,10,2,2048,3,2,2048,1.0
grouping_off,0,11,2,2048,3,2,2048,1.0
grouping_off,0,12,2,2048,3,2,2048,1.0
grouping_off,0,13,2,2048,3,2,2048,1.0
grouping_off,0,14,2,2048,3,2,2048,1.0
grouping_off,0,15,2,2048,3,2,2048,1.0
grouping_off,0,16,2,2048,3,2,2048,1.0
grouping_off,0,17,2,2048,3,2,2048,1.0
grouping_off,0,18,2,2048,3,2,2048,1.0
grouping_off,0,19,2,2048,3,2,2048,1.0
grouping_off,0,20,2,2048,3,2,2048,1.0
grouping_off,0,21,2,2048,3,2,2048,1.0
grouping_off,0,22,2,2048,3,2,2048,1.0
grouping_off,0,23,2,2048,3,2,2048,1.0
grouping_off,0,24,2,2048,3,2,2048,1.0
grouping_off,0,25,2,2048,3,2,2048,1.0
grouping_off,0,26,2,2048,3,2,2048,1.0
grouping_off,0,27,2,2048,3,2,2048,1.0
grouping_off,0,28,2,2048,3,2,2048,1.0
grouping_off,0,29,2,2048,3,2,2048,1.0
grouping_off,0,30,2,2048,3,2,2048,1.0
grouping_off,0,31,2,2048,3,2,2048,1.0
grouping_off,1,0,1,1024,2,1,1024,1.0
grouping_off,1,1,1,1024,2,1,1024,1.0
grouping_off,1,2,1,1024,2,1,1024,1.0
grouping_off,1,3,1,1024,2,1,1024,1.0
grouping_off,1,4,1,1024,2,1,1024,1.0
grouping_off,1,5,1,1024,2,1,1024,1.0
grouping_off,1,6,1,1024,2,1,1024,1.0
grouping_off,1,7,1,1024,2,1,1024,1.0
grouping_off,1,8,1,1024,2,1,1024,1.0
grouping_off,1,9,1,1024,2,1,1024,1.0
