regime,layer_id,head_id,selected_window_idx,selected_window_size,pre_clamp_window_idx,final_window_idx,final_window_size,ACR
shallow_freeze,0,0,2,2048,2,2,2048,0.88671875
shallow_freeze,0,1,2,2048,2,2,2048,0.88671875
shallow_freeze,0,2,2,2048,2,2,2048,0.88671875
shallow_freeze,0,3,2,2048,2,2,2048,0.88671875
shallow_freeze,0,4,2,2048,2,2,2048,0.88671875
shallow_freeze,0,5,2,2048,2,2,2048,0.88671875
shallow_freeze,0,6,2,2048,2,2,2048,0.88671875
shallow_freeze,0,7,2,2048,2,2,2048,0.88671875
shallow_freeze,0,8,3,4096,3,3,4096,0.88671875
shallow_freeze,0,9,3,4096,3,3,4096,0.88671875
shallow_freeze,0,10,2,2048,2,2,2048,0.88671875
shallow_freeze,0,11,2,2048,2,2,2048,0.88671875
shallow_freeze,0,12,2,2048,2,2,2048,0.88671875
shallow_freeze,0,13,2,2048,2,2,2048,0.88671875
shallow_freeze,0,14,3,4096,3,3,4096,0.88671875
shallow_freeze,0,15,3,4096,3,3,4096,0.88671875
shallow_freeze,0,16,3,4096,3,3,4096,0.88671875
shallow_freeze,0,17,3,4096,3,3,4096,0.88671875
shallow_freeze,0,18,3,4096,3,3,4096,0.88671875
shallow_freeze,0,19,3,4096,3,3,4096,0.88671875
shallow_freeze,0,20,3,4096,3,3,4096,0.88671875
shallow_freeze,0,21,3,4096,3,3,4096,0.88671875
shallow_freeze,0,22,3,4096,3,3,4096,0.88671875
shallow_freeze,0,23,3,4096,3,3,4096,0.88671875
shallow_freeze,0,24,3,4096,3,3,4096,0.88671875
shallow_freeze,0,25,3,4096,3,3,4096,0.88671875
shallow_freeze,0,26,3,4096,3,3,4096,0.88671875
shallow_freeze,0,27,3,4096,3,3,4096,0.88671875
shallow_freeze,0,28,3,4096,3,3,4096,0.88671875
shallow_freeze,0,29,3,4096,3,3,4096,0.88671875
shallow_freeze,0,30,3,4096,3,3,4096,0.88671875
shallow_freeze,0,31,3,4096,3,3,4096,0.88671875
shallow_freeze,1,0,0,512,0,0,512,0.645233154296875
shallow_freeze,1,1,0,512,0,0,512,0.645233154296875
shallow_freeze,1,2,0,512,0,0,512,0.645233154296875
shallow_freeze,1,3,0,512,0,0,512,0.645233154296875
shallow_freeze,1,4,0,512,0,0,512,0.645233154296875
shallow_freeze,1,5,0,512,0,0,512,0.645233154296875
shallow_freeze,1,6,0,512,0,0,512,0.645233154296875
shallow_freeze,1,7,0,512,0,0,512,0.645233154296875
shallow_freeze,1,8,0,512,0,0,512,0.645233154296875
shallow_freeze,1,9,0,512,0,0,512,0.645233154296875
shallow_freeze,1,10,0,512,0,0,512,0.645233154296875
shallow_freeze,1,11,0,512,0,0,512,0.645233154296875
shallow_freeze,1,12,0,512,0,0,512,0.645233154296875
shallow_freeze,1,13,0,512,0,0,512,0.645233154296875
shallow_freeze,1,14,0,512,0,0,512,0.645233154296875
shallow_freeze,1,15,0,512,0,0,512,0.645233154296875
shallow_freeze,1,16,0,512,0,0,512,0.645233154296875
shallow_freeze,1,17,0,512,0,0,512,0.645233154296875
shallow_freeze,1,18,0,512,0,0,512,0.645233154296875
shallow_freeze,1,19,0,512,0,0,512,0.645233154296875
shallow_freeze,1,20,0,512,0,0,512,0.645233154296875
shallow_freeze,1,21,0,512,0,0,512,0.645233154296875
shallow_freeze,1,22,0,512,0,0,512,0.645233154296875
shallow_freeze,1,23,0,512,0,0,512,0.645233154296875
shallow_freeze,1,24,0,512,0,0,512,0.645233154296875
shallow_freeze,1,25,0,512,0,0,512,0.645233154296875
shallow_freeze,1,26,0,512,0,0,512,0.645233154296875
shallow_freeze,1,27,0,512,0,0,512,0.645233154296875
shallow_freeze,1,28,0,512,0,0,512,0.645233154296875
shallow_freeze,1,29,0,512,0,0,512,0.645233154296875
shallow_freeze,1,30,0,512,0,0,512,0.645233154296875
shallow_freeze,1,31,0,512,0,0,512,0.645233154296875
shallow_freeze,2,0,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,1,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,2,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,3,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,4,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,5,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,6,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,7,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,8,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,9,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,10,2,2048,2,2,2048,0.93072509765625
shallow_freeze,2,11,2,2048,2,2,2048,0.93072509765625
