"Step","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MAX"
"0","0.7967075189155107","0.7967075189155107","0.7967075189155107","","","","1","1","1","","","","0.8705798129466162","0.8705798129466162","0.8705798129466162","","","","0.771545948928121","0.771545948928121","0.771545948928121","","","","0.8038402427490542","0.8038402427490542","0.8038402427490542","","",""
"1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1"
"2","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1"
"3","","","","0.8169070512820513","0.8169070512820513","0.8169070512820513","","","","1","1","1","","","","0.8725961538461539","0.8725961538461539","0.8725961538461539","","","","0.8080929487179487","0.8080929487179487","0.8080929487179487","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539"
"4","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","1","1","1","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","0.7932692307692307","0.7932692307692307","0.7932692307692307","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539"
"6","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","1","1","1","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","0.7946714743589743","0.7946714743589743","0.7946714743589743","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539"
"7","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","1","1","1","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","0.7946714743589743","0.7946714743589743","0.7946714743589743","","","","0.7956730769230769","0.7956730769230769","0.7956730769230769"
"8","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","1","1","1","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","0.7950721153846154","0.7950721153846154","0.7950721153846154","","","","0.7956730769230769","0.7956730769230769","0.7956730769230769"
"9","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384"
"11","","","","0.8205128205128205","0.8205128205128205","0.8205128205128205","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8036858974358975","0.8036858974358975","0.8036858974358975","","","","0.8112980769230769","0.8112980769230769","0.8112980769230769"
"12","","","","0.8177083333333334","0.8177083333333334","0.8177083333333334","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.803886217948718","0.803886217948718","0.803886217948718","","","","0.8112980769230769","0.8112980769230769","0.8112980769230769"
"13","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.803886217948718","0.803886217948718","0.803886217948718","","","","0.8016826923076923","0.8016826923076923","0.8016826923076923"
"14","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"16","","","","0.8120993589743589","0.8120993589743589","0.8120993589743589","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154"
"17","","","","0.8120993589743589","0.8120993589743589","0.8120993589743589","","","","1","1","1","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","0.8032852564102564","0.8032852564102564","0.8032852564102564","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154"
"18","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"19","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8687900641025641","0.8687900641025641","0.8687900641025641","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"21","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"22","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"23","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8661858974358975","0.8661858974358975","0.8661858974358975","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"24","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
