"Step","paper-main_4096_deep_practical_reuse-seed0 - aah/hierarchy_levels_used","paper-main_4096_deep_practical_reuse-seed0 - aah/hierarchy_levels_used__MIN","paper-main_4096_deep_practical_reuse-seed0 - aah/hierarchy_levels_used__MAX","paper-main_4096_shallow_freeze-seed0 - aah/hierarchy_levels_used","paper-main_4096_shallow_freeze-seed0 - aah/hierarchy_levels_used__MIN","paper-main_4096_shallow_freeze-seed0 - aah/hierarchy_levels_used__MAX","paper-main_4096_full_adaptive-seed0 - aah/hierarchy_levels_used","paper-main_4096_full_adaptive-seed0 - aah/hierarchy_levels_used__MIN","paper-main_4096_full_adaptive-seed0 - aah/hierarchy_levels_used__MAX","paper-main_4096_grouping_off-seed0 - aah/hierarchy_levels_used","paper-main_4096_grouping_off-seed0 - aah/hierarchy_levels_used__MIN","paper-main_4096_grouping_off-seed0 - aah/hierarchy_levels_used__MAX"
"1","2.125","2.125","2.125","1","1","1","2.125","2.125","2.125","0","0","0"
"2","2.5","2.5","2.5","1","1","1","2.5","2.5","2.5","0","0","0"
"3","2.5","2.5","2.5","1","1","1","3.0625","3.0625","3.0625","1","1","1"
"4","3.0625","3.0625","3.0625","1","1","1","3.625","3.625","3.625","1","1","1"
"6","3.0625","3.0625","3.0625","1","1","1","2.875","2.875","2.875","1","1","1"
"7","2.6875","2.6875","2.6875","1","1","1","3.25","3.25","3.25","1","1","1"
"8","2.6875","2.6875","2.6875","1","1","1","3.0625","3.0625","3.0625","1","1","1"
"9","2.6875","2.6875","2.6875","1","1","1","2.6875","2.6875","2.6875","1","1","1"
"11","2.3125","2.3125","2.3125","1","1","1","2.6875","2.6875","2.6875","1","1","1"
"12","2.3125","2.3125","2.3125","1","1","1","2.6875","2.6875","2.6875","1","1","1"
"13","2.5","2.5","2.5","1","1","1","2.6875","2.6875","2.6875","1","1","1"
"14","2.3125","2.3125","2.3125","1","1","1","2.5","2.5","2.5","1","1","1"
"16","2.5","2.5","2.5","1","1","1","2.5","2.5","2.5","1","1","1"
"17","2.5","2.5","2.5","1","1","1","2.5","2.5","2.5","1","1","1"
"18","2.5","2.5","2.5","1","1","1","2.5","2.5","2.5","1","1","1"
"19","2.6875","2.6875","2.6875","1","1","1","2.5","2.5","2.5","1","1","1"
"21","2.6875","2.6875","2.6875","1","1","1","2.5","2.5","2.5","1","1","1"
"22","2.5","2.5","2.5","1","1","1","2.5","2.5","2.5","1","1","1"
"23","2.6875","2.6875","2.6875","1","1","1","2.5","2.5","2.5","1","1","1"
"24","2.6875","2.6875","2.6875","1","1","1","2.5","2.5","2.5","1","1","1"
"26","2.875","2.875","2.875","1","1","1","2.5","2.5","2.5","1","1","1"
"27","2.6875","2.6875","2.6875","1","1","1","2.5","2.5","2.5","1","1","1"
"28","3.0625","3.0625","3.0625","1","1","1","2.5","2.5","2.5","1","1","1"
"29","2.875","2.875","2.875","1","1","1","2.3125","2.3125","2.3125","1","1","1"
"31","2.875","2.875","2.875","1","1","1","2.5","2.5","2.5","1","1","1"
"32","2.6875","2.6875","2.6875","1","1","1","2.3125","2.3125","2.3125","1","1","1"
"33","2.875","2.875","2.875","1","1","1","2.875","2.875","2.875","1","1","1"
"34","3.25","3.25","3.25","1","1","1","3.25","3.25","3.25","1","1","1"
"36","3.0625","3.0625","3.0625","1","1","1","3.0625","3.0625","3.0625","1","1","1"
"37","3.25","3.25","3.25","1","1","1","3.25","3.25","3.25","1","1","1"
"38","3.4375","3.4375","3.4375","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"39","3.25","3.25","3.25","1","1","1","3.0625","3.0625","3.0625","1","1","1"
"41","3.4375","3.4375","3.4375","1","1","1","3.625","3.625","3.625","1","1","1"
"42","3.25","3.25","3.25","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"43","3.0625","3.0625","3.0625","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"44","3.0625","3.0625","3.0625","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"46","3.4375","3.4375","3.4375","1","1","1","3.625","3.625","3.625","1","1","1"
"47","3.25","3.25","3.25","1","1","1","3.625","3.625","3.625","1","1","1"
"48","3.625","3.625","3.625","1","1","1","3.625","3.625","3.625","1","1","1"
"49","3.4375","3.4375","3.4375","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"51","3.4375","3.4375","3.4375","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"52","3.4375","3.4375","3.4375","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"53","3.0625","3.0625","3.0625","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"54","3.25","3.25","3.25","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"56","3.25","3.25","3.25","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"57","3.25","3.25","3.25","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"58","3.25","3.25","3.25","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"59","3.25","3.25","3.25","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"61","3.0625","3.0625","3.0625","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"62","3.0625","3.0625","3.0625","1","1","1","3.8125","3.8125","3.8125","1","1","1"
"63","3.0625","3.0625","3.0625","1","1","1","3.0625","3.0625","3.0625","1","1","1"
"64","2.875","2.875","2.875","1","1","1","3.625","3.625","3.625","1","1","1"
"66","3.0625","3.0625","3.0625","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"67","3.0625","3.0625","3.0625","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"68","3.0625","3.0625","3.0625","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"69","3.25","3.25","3.25","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"71","3.25","3.25","3.25","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"72","3.25","3.25","3.25","1","1","1","3.4375","3.4375","3.4375","1","1","1"
"73","3.25","3.25","3.25","1","1","1","3.4375","3.4375","3.4375","1","1","1"
