"Step","paper-main_4096_shallow_freeze-seed0-eval200-clean - train/loss","paper-main_4096_shallow_freeze-seed0-eval200-clean - train/loss__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean - train/loss__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean - train/loss","paper-main_4096_pure_baseline-seed0-eval200-clean - train/loss__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean - train/loss__MAX","paper-main_4096_grouping_off-seed0-eval200-clean - train/loss","paper-main_4096_grouping_off-seed0-eval200-clean - train/loss__MIN","paper-main_4096_grouping_off-seed0-eval200-clean - train/loss__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean - train/loss","paper-main_4096_full_adaptive-seed0-eval200-clean - train/loss__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean - train/loss__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - train/loss","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - train/loss__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - train/loss__MAX"
"1","61.73296356201172","61.73296356201172","61.73296356201172","61.8807373046875","61.8807373046875","61.8807373046875","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172","61.73296356201172"
"2","75.82034301757812","75.82034301757812","75.82034301757812","81.38990783691406","81.38990783691406","81.38990783691406","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812","75.82034301757812"
"3","44.84832000732422","44.84832000732422","44.84832000732422","47.800960540771484","47.800960540771484","47.800960540771484","45.27165603637695","45.27165603637695","45.27165603637695","37.380409240722656","37.380409240722656","37.380409240722656","41.10082244873047","41.10082244873047","41.10082244873047"
"4","33.682315826416016","33.682315826416016","33.682315826416016","36.57356262207031","36.57356262207031","36.57356262207031","40.55265808105469","40.55265808105469","40.55265808105469","35.55158996582031","35.55158996582031","35.55158996582031","33.62211227416992","33.62211227416992","33.62211227416992"
"6","24.629898071289062","24.629898071289062","24.629898071289062","26.456087112426758","26.456087112426758","26.456087112426758","25.623149871826172","25.623149871826172","25.623149871826172","24.366121292114258","24.366121292114258","24.366121292114258","26.017322540283203","26.017322540283203","26.017322540283203"
"7","19.687759399414062","19.687759399414062","19.687759399414062","22.695302963256836","22.695302963256836","22.695302963256836","21.334884643554688","21.334884643554688","21.334884643554688","19.50450325012207","19.50450325012207","19.50450325012207","23.03342056274414","23.03342056274414","23.03342056274414"
"8","19.130435943603516","19.130435943603516","19.130435943603516","17.975435256958008","17.975435256958008","17.975435256958008","19.367807388305664","19.367807388305664","19.367807388305664","18.992462158203125","18.992462158203125","18.992462158203125","19.130666732788086","19.130666732788086","19.130666732788086"
"9","16.232467651367188","16.232467651367188","16.232467651367188","17.145294189453125","17.145294189453125","17.145294189453125","16.318506240844727","16.318506240844727","16.318506240844727","16.201156616210938","16.201156616210938","16.201156616210938","15.894083023071289","15.894083023071289","15.894083023071289"
"11","16.072391510009766","16.072391510009766","16.072391510009766","15.520391464233398","15.520391464233398","15.520391464233398","16.303682327270508","16.303682327270508","16.303682327270508","20.409116744995117","20.409116744995117","20.409116744995117","15.603540420532227","15.603540420532227","15.603540420532227"
"12","15.250091552734375","15.250091552734375","15.250091552734375","14.357696533203125","14.357696533203125","14.357696533203125","15.333152770996094","15.333152770996094","15.333152770996094","15.647128105163574","15.647128105163574","15.647128105163574","15.51801872253418","15.51801872253418","15.51801872253418"
